Source,Full Paragraph Text,claude3.7: Interaction Present,claude3.7: Confidence,claude3.7: Entities Summary,claude3.7: Relationship Type,claude3.7: Relationship Summary,claude3.7: Scales Crossed,claude3.7: Scale Chains,4o: Interaction Present,4o: Confidence,4o: Entities Summary,4o: Relationship Type,4o: Relationship Summary,4o: Scales Crossed,4o: Scale Chains,o4_mini: Interaction Present,o4_mini: Confidence,o4_mini: Entities Summary,o4_mini: Relationship Type,o4_mini: Relationship Summary,o4_mini: Scales Crossed,o4_mini: Scale Chains,gemini2.0: Interaction Present,gemini2.0: Confidence,gemini2.0: Entities Summary,gemini2.0: Relationship Type,gemini2.0: Relationship Summary,gemini2.0: Scales Crossed,gemini2.0: Scale Chains,Disagreement
Nestle_Annual_Report_2014_page_4.pdf,"We remain the only infant formula manufacturer included in FTSE’s responsible investment index, based on our performance in human rights, labour rights, responsible marketing of breast-milk substitutes and more.",No,0.9,N/A,N/A,N/A,N/A,N/A,No,0.9,N/A,N/A,N/A,N/A,N/A,Yes,0.9,[0] infant formula manufacturer (H:Organizational|S:N/A|T:N/A) || [1] FTSE’s responsible investment index (H:N/A|S:N/A|T:N/A),Direct Causal Link,The performance of the infant formula manufacturer in human rights and labor rights directly influences its inclusion in FTSE’s responsible investment index.,Hierarchical,0 -> 1: Organizational -> N/A,Yes,0.9,[0] Infant formula manufacturer (H:Organizational|S:N/A|T:N/A) || [1] FTSE’s responsible investment index (H:Environmental and Societal|S:National|T:Long-Term),Direct Causal Link,Organizational performance leads to inclusion in national index.,"Hierarchical, Spatial, Temporal",0 -> 1: Organizational -> National -> Long-Term,Yes
Nestle_Annual_Report_2014_page_4.pdf,"We were ranked number one by the charity Oxfam in its 2014 scorecard, Behind the Brands. The survey scored 10 food and beverage companies on their efforts to improve food security.",Yes,0.8,[0] The company being ranked (implied 'we') (H:Organizational|S:N/A|T:Short-Term) || [1] Oxfam (charity conducting the ranking) (H:Organizational|S:Transnational|T:Short-Term) || [2] Food security efforts (being evaluated) (H:Environmental and Societal|S:Transnational|T:Medium-Term),Direct Causal Link,"Oxfam evaluated and ranked a company based on its efforts to improve food security, creating a direct causal link between the company's activities and Oxfam's assessment.",Spatial,0 -> 1: Organizational -> Organizational (Transnational) || 0 -> 2: Organizational -> Environmental and Societal,No,0.9,N/A,N/A,N/A,N/A,N/A,Yes,0.8,[0] charity Oxfam (H:Organizational|S:N/A|T:Short-Term) || [1] food and beverage companies (H:Inter-Organizational / Sector|S:N/A|T:Short-Term),Causal Chain,Oxfam's ranking influences food and beverage companies' efforts to improve food security.,"Hierarchical, Temporal",0 -> 1: Organizational -> Inter-Organizational / Sector -> Short-Term,Yes,0.9,[0] Oxfam (H:Inter-Organizational|S:Transnational|T:Short-Term) || [1] food and beverage companies (H:Organizational|S:N/A|T:Short-Term),Direct Causal Link,Oxfam influences food and beverage companies.,"Hierarchical, Spatial",1 -> 2: Inter-Organizational -> Organizational,Yes
Nestle_Annual_Report_2014_page_6.pdf,"The business environment was again marked by great uncertainty in 2014. Disruptive socio-economic and political change continued to affect growth in many parts of the world. In the emerging markets, economic volatility worsened as growth rates slowed and currencies weakened. In the developed markets, deflationary pressures and soft consumer demand resulted in a continued challenging trading environment. In the face of such uncertainty it was more important than ever to stay the course and remain loyal to our strategy, driving short-term performance while ensuring we made the right decisions to deliver our long-term goals. We took decisive steps to further our ambition to be the world’s recognised leading Nutrition, Health and Wellness company, trusted by all stakeholders, while again delivering financial results in 2014 that outperformed the market.",Yes,0.85,[0] Global economic and political environment causing uncertainty (H:Environmental and Societal|S:Transnational / Cross-border|T:Short-Term) || [1] The company (implied to be Nestlé) (H:Organizational|S:Transnational / Cross-border|T:Short-Term) || [2] Company's strategic decision-making balancing short and long-term goals (H:Organizational|S:Transnational / Cross-border|T:Long-Term),Bidirectional Link,"The global economic environment created challenges that the company responded to by making strategic decisions balancing short-term performance with long-term goals, ultimately outperforming the market.",Hierarchical,0 <-> 1: Environmental and Societal -> Organizational || 1 <-> 2: Short-Term -> Long-Term,Yes,0.85,[0] Disruptive socio-economic and political change (H:Environmental and Societal|S:Transnational / Cross-border|T:Medium-Term) || [1] Growth in many parts of the world (H:Environmental and Societal|S:Transnational / Cross-border|T:Medium-Term) || [2] Emerging markets (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Medium-Term) || [3] Developed markets (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Medium-Term) || [4] Company strategy (H:Organizational|S:N/A|T:Long-Term),Causal Chain,Disruptive socio-economic and political change -> Growth in many parts of the world -> Company strategy,"Hierarchical, Temporal",0 -> 4: Environmental and Societal -> Organizational -> Long-Term,Yes,0.85,"[0] The company aiming to be the world's leading Nutrition, Health and Wellness company (H:Organizational|S:Transnational|T:Long-Term) || [1] Emerging markets experiencing economic volatility (H:Environmental and Societal|S:Transnational|T:Short-Term) || [2] Developed markets facing deflationary pressures (H:Environmental and Societal|S:Transnational|T:Short-Term)",Causal Chain,Organizational actions to drive performance are influenced by socio-economic conditions in both emerging and developed markets.,"Hierarchical, Temporal, Spatial",1 -> 2: Organizational -> Environmental and Societal -> Short-Term || 1 -> 3: Organizational -> Environmental and Societal -> Short-Term,Yes,0.9,[0] Disruptive socio-economic and political change (H:Environmental and Societal|S:Transnational|T:Short-Term) || [1] Growth in many parts of the world (H:N/A|S:Transnational|T:Short-Term) || [2] We (company) (H:Organizational|S:National|T:Short-Term) || [3] Our strategy (H:Organizational|S:National|T:Long-Term),Causal Chain,Environmental and Societal -> Transnational -> Organizational,Hierarchical,0 -> 2: Environmental and Societal -> Organizational,No
Nestle_Annual_Report_2014_page_6.pdf,"Through continuous innovation and renovation of our food and beverages portfolio we are able to offer people healthier and tastier choices at every stage of their life, at any time of the day. Science-based innovation enables us to enhance the quality of people’s diets, using our knowledge and our research and development capability to make a positive contribution to society. Wherever you are in the world, we have safe, nutritious products to help you care for yourself and your family. A few years ago, we expanded the boundaries of Nutrition, Health and Wellness with the creation of Nestlé Health Science, motivated by the opportunity to forge a major therapeutic role for nutrition in the management of health. In line with this broadened strategy, in 2014 the Board approved the sale of 48.5 million L’Oréal shares to L’Oréal for cancellation. Part of the proceeds were used for the acquisition of the 50% stake in our joint venture Galderma from L’Oréal, bringing our ownership of Galderma to 100%. Galderma formed the foundation of a new Nestlé subsidiary, Nestlé Skin Health. Its goal is to be recognised as the leading company in skin health, offering science-based solutions to protect, nourish and enhance skin, and where needed to treat, correct and restore damaged skin over the course of people’s lives. Nestlé Skin Health provides prescription drugs, self-medication, therapeutic skin care and aesthetic and corrective medicine, allowing us to compete in the growing and promising multi-billion global skincare market. Nestlé Skin Health was further strengthened by the acquisition of the full rights to commercialise several key aesthetic dermatology products in the United States and Canada.",Yes,0.85,[0] Nestlé (parent company) (H:Organizational|S:Transnational / Cross-border|T:Long-Term) || [1] Nestlé Health Science (subsidiary) (H:Organizational|S:Transnational / Cross-border|T:Medium-Term) || [2] Nestlé Skin Health (subsidiary) (H:Organizational|S:Transnational / Cross-border|T:Short-Term) || [3] Consumers/people/families (H:Individual|S:Transnational / Cross-border|T:Long-Term) || [4] L'Oréal (partner company) (H:Organizational|S:Transnational / Cross-border|T:Medium-Term) || [5] Galderma (acquired company) (H:Organizational|S:Transnational / Cross-border|T:Short-Term),Mixed/Complex Pattern,"Nestlé expands its organizational scope through strategic acquisitions and subsidiary creation to deliver health and wellness products to individuals globally, creating a complex network of organizational changes that ultimately aim to impact individual consumers.",Hierarchical,0 -> 3: Organizational -> Individual || 0 -> 1: Long-Term -> Medium-Term || 0 -> 2: Long-Term -> Short-Term,Yes,0.9,[0] Nestlé's innovation and renovation of food and beverages portfolio (H:Organizational|S:Transnational|T:Long-Term) || [1] People's healthier and tastier choices (H:Individual|S:Transnational|T:Long-Term) || [2] Nestlé Health Science creation and strategy expansion (H:Organizational|S:Transnational|T:Medium-Term) || [3] Nestlé Skin Health's market competition and product offerings (H:Organizational|S:Transnational|T:Long-Term),Causal Chain,Organizational -> Individual -> Organizational,Hierarchical,1 -> 2: Organizational -> Individual || 3 -> 4: Medium-Term -> Long-Term,Yes,0.9,[0] Nestlé's food and beverages portfolio (H:Organizational|S:Transnational|T:Medium-Term) || [1] Nestlé Health Science (H:Organizational|S:Transnational|T:Medium-Term) || [2] Nestlé Skin Health (H:Organizational|S:Transnational|T:Medium-Term) || [3] People's diets (H:Individual|S:Global|T:Long-Term),Causal Chain,"Nestlé's food and beverages portfolio enhances people's diets through innovation, leading to the establishment of Nestlé Health Science and subsequently Nestlé Skin Health.","Hierarchical, Temporal, Spatial",0 -> 3: Organizational -> Global -> Long-Term,Yes,0.9,[0] Nestlé's Board (H:Organizational|S:Transnational|T:Medium-Term) || [1] L'Oréal (H:Organizational|S:Transnational|T:Medium-Term) || [2] Galderma (H:Organizational|S:Transnational|T:Medium-Term) || [3] Nestlé Skin Health (H:Organizational|S:Transnational|T:Long-Term) || [4] Consumers (H:Inter-Organizational|S:Transnational|T:Long-Term),Causal Chain,"Nestlé Board's decision to sell L'Oréal shares leads to increased ownership of Galderma, which forms the foundation of Nestlé Skin Health.",,0 -> 3: N/A,No
Nestle_Annual_Report_2014_page_6.pdf,"These developments ensure that, building on the strong foundations of our food and beverages business and guided increasingly by science, we can further expand our portfolio to provide promising platforms for future growth in line with our strategy of Nutrition, Health and Wellness. At the same time, we continue the drive to ensure our company is organised efficiently and effectively to deliver continuous profitable growth over the long term. With this objective in mind we made some key decisions, adapting our organisational structure to better prepare ourselves today to meet the challenges of tomorrow.",No,0.9,N/A,N/A,N/A,N/A,N/A,Yes,0.85,[0] Food and beverages business (H:Organizational|S:N/A|T:N/A) || [1] Science (H:Environmental and Societal|S:N/A|T:N/A) || [2] Company (H:Organizational|S:N/A|T:Long-Term),Convergent Influence,Organizational and Environmental and Societal influences converge to impact Organizational long-term growth.,"Hierarchical, Temporal",1 -> 3: Environmental and Societal -> Organizational -> Long-Term,Yes,0.85,[0] Food and beverages business (H:Organizational|S:N/A|T:Long-Term) || [1] Company's organizational structure (H:Organizational|S:N/A|T:Short-Term) || [2] Future growth strategy (H:Organizational|S:N/A|T:Long-Term),Causal Chain,Organizational changes in structure lead to future growth strategies.,"Hierarchical, Temporal",1 -> 3: Organizational -> Long-Term || 2 -> 3: Organizational -> Long-Term,Yes,0.8,[0] food and beverages business (H:Organizational|S:N/A|T:N/A) || [1] company (H:Organizational|S:N/A|T:Long-Term) || [2] key decisions (H:Organizational|S:N/A|T:Short-Term),Causal Chain,Organizational -> Organizational -> Long-Term,Temporal,1 -> 2: Long-Term || 3 -> 2: Short-Term -> Long-Term,Yes
Nestle_Annual_Report_2014_page_6.pdf,"While our company continues to benefit from its decentralised structure, allowing key decisions to be made as close as possible to consumers, there is still an important opportunity to better leverage our scale. That is why in 2014 we set up Nestlé Business Excellence at Executive Board Level, combining GLOBE (Nestlé’s Global Business Excellence function) with Nestlé Business Services (our shared operation for transactional services around the world) and Nestlé Con tinuous Excellence (our continuous improvement and LEAN programme). Through a focus on three areas: Simplifying, Standardising and Sharing, Nestlé Business Excellence will allow us to decrease structural costs and operational expenses, freeing up resources to support growth. This will also allow our markets to keep a sharp focus on generating demand.",Yes,0.9,[0] Nestlé (parent company) (H:Organizational|S:Transnational|T:Medium-Term) || [1] Nestlé Business Excellence (combined unit at Executive Board Level) (H:Organizational|S:Transnational|T:Medium-Term) || [2] Nestlé's decentralized markets/units (H:Organizational|S:Local|T:Medium-Term),Bidirectional Link,"Nestlé created a centralized Business Excellence unit that standardizes operations across the company, which reduces costs and frees resources that benefit local market units, allowing them to focus on growth and consumer-facing activities.",Spatial,0 <-> 1: Organizational -> Organizational || 1 <-> 2: Transnational -> Local,Yes,0.9,[0] Nestlé Business Excellence at Executive Board Level (H:Organizational|S:Transnational|T:Long-Term) || [1] GLOBE (Nestlé’s Global Business Excellence function) (H:Organizational|S:Transnational|T:Long-Term) || [2] Nestlé Business Services (H:Organizational|S:Transnational|T:Long-Term) || [3] Nestlé Continuous Excellence (H:Organizational|S:Transnational|T:Long-Term) || [4] Markets (H:Inter-Organizational / Sector|S:Transnational|T:Long-Term),Causal Chain,Organizational -> Inter-Organizational / Sector -> Long-Term,Hierarchical,0 -> 4: Organizational -> Inter-Organizational / Sector -> Long-Term,Yes,0.85,[0] Nestlé Business Excellence (H:Organizational|S:Transnational / Cross-border|T:Medium-Term) || [1] Consumers (H:Individual|S:Local / Site-specific|T:Short-Term) || [2] Markets (H:Inter-Organizational / Sector|S:N/A|T:Medium-Term),Causal Chain,"Nestlé Business Excellence influences Markets, which in turn influences Consumers.","Hierarchical, Spatial, Temporal",0 -> 1: Organizational -> Individual -> Short-Term || 0 -> 2: Organizational -> Inter-Organizational / Sector -> Medium-Term,Yes,0.9,[0] Nestlé (H:Organizational|S:Transnational|T:Medium-Term) || [1] Nestlé Business Excellence (H:Organizational|S:Transnational|T:Long-Term) || [2] Nestlé Markets (H:Organizational|S:Transnational|T:Short-Term),Causal Chain,Organizational -> Organizational -> Organizational,Temporal,1 -> 2: Temporal -> Medium-Term -> Long-Term || 2 -> 3: Temporal -> Long-Term -> Short-Term,No
Nestle_Annual_Report_2014_page_6.pdf,"We have integrated the Maghreb, the Middle East, the North East Africa region, Turkey and Israel into Zone Europe to form Zone EMENA (Europe, Middle East and North Africa). This balances the different consumer dynamics and opportunities in each geography. Additionally it allows a sharper focus in Zone Asia, Oceania and Africa, a fast-growing part",Yes,0.8,"[0] Organization restructuring Zone Europe into Zone EMENA (H:Organizational|S:Transnational / Cross-border|T:Medium-Term) || [1] Consumer dynamics in different geographies (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Medium-Term) || [2] Zone Asia, Oceania and Africa operations (H:Organizational|S:Transnational / Cross-border|T:Medium-Term)",Direct Causal Link,"An organization restructured its regional zones by integrating multiple regions into Zone EMENA, which directly affects both consumer dynamics across these regions and allows for more focused operations in Zone Asia, Oceania and Africa.",Hierarchical,0 -> 1: Organizational -> Inter-Organizational / Sector || 0 -> 2: Organizational -> Organizational,Yes,0.85,"[0] Integration of regions into Zone EMENA (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Long-Term) || [1] Balancing consumer dynamics and opportunities (H:Environmental and Societal|S:Transnational / Cross-border|T:Long-Term) || [2] Focus in Zone Asia, Oceania and Africa (H:Organizational|S:Transnational / Cross-border|T:Long-Term)",Causal Chain,"Integration of regions into Zone EMENA -> Balancing consumer dynamics and opportunities -> Focus in Zone Asia, Oceania and Africa",Hierarchical,0 -> 1: Inter-Organizational / Sector -> Environmental and Societal || 1 -> 2: Environmental and Societal -> Organizational,Yes,0.9,"[0] Zone EMENA (Europe, Middle East and North Africa) (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Medium-Term) || [1] Zone Asia, Oceania and Africa (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Medium-Term)",Causal Chain,"Zone EMENA influences the focus on Zone Asia, Oceania and Africa.","Hierarchical, Spatial, Temporal",0 -> 1: Inter-Organizational / Sector -> Transnational / Cross-border -> Medium-Term,Yes,0.9,"[0] Maghreb, the Middle East, the North East Africa region, Turkey and Israel (H:Inter-Organizational|S:Regional|T:N/A) || [1] Zone Europe (H:Organizational|S:Regional|T:N/A) || [2] Zone EMENA (H:Organizational|S:Transnational|T:N/A)",Causal Chain,Regional -> Transnational,"Hierarchical, Spatial",1 -> 3: Regional -> Transnational,No
Nestle_Annual_Report_2014_page_8.pdf,"The new Nestlé Business Excellence function is led by Chris Johnson, the former head of Zone Americas. Zone Americas is now led by Laurent Freixe, the former head of Zone Europe, and the new Zone EMENA by Luis Cantarell, who previously was in charge of Nestlé Nutrition and Nestlé Health Science. The new head of Nestlé Nutrition is Heiko Schipper, who was formerly responsible for our Global Infant Nutrition division. Nestlé Health Science is led by Greg Behar, who joined the company from Boehringer Ingelheim in July. The newly established Nestlé Skin Health is led by Humberto Antunes, former ly the Chief Executive Officer of our joint venture Galderma.",No,0.9,N/A,N/A,N/A,N/A,N/A,Yes,0.9,[0] Chris Johnson leading Nestlé Business Excellence (H:Organizational|S:N/A|T:N/A) || [1] Laurent Freixe leading Zone Americas (H:Organizational|S:N/A|T:N/A) || [2] Luis Cantarell leading Zone EMENA (H:Organizational|S:N/A|T:N/A) || [3] Heiko Schipper leading Nestlé Nutrition (H:Organizational|S:N/A|T:N/A) || [4] Greg Behar leading Nestlé Health Science (H:Organizational|S:N/A|T:N/A) || [5] Humberto Antunes leading Nestlé Skin Health (H:Organizational|S:N/A|T:N/A),Causal Chain,Leadership changes across Nestlé's organizational structure,Hierarchical,0 -> 1: Organizational -> Organizational || 1 -> 2: Organizational -> Organizational || 2 -> 3: Organizational -> Organizational,Yes,0.9,"[0] Chris Johnson, head of Nestlé Business Excellence (H:Organizational|S:N/A|T:N/A) || [1] Laurent Freixe, head of Zone Americas (H:Organizational|S:N/A|T:N/A) || [2] Luis Cantarell, head of Zone EMENA (H:Organizational|S:N/A|T:N/A) || [3] Heiko Schipper, head of Nestlé Nutrition (H:Organizational|S:N/A|T:N/A) || [4] Greg Behar, head of Nestlé Health Science (H:Organizational|S:N/A|T:N/A) || [5] Humberto Antunes, head of Nestlé Skin Health (H:Organizational|S:N/A|T:N/A)",Bidirectional Link,Leadership transitions among various organizational roles within Nestlé.,Hierarchical,0 <-> 1: Organizational -> Organizational || 1 <-> 2: Organizational -> Organizational || 2 <-> 3: Organizational -> Organizational || 3 <-> 4: Organizational -> Organizational || 4 <-> 5: Organizational -> Organizational,Yes,0.9,[0] Chris Johnson (H:Individual|S:N/A|T:N/A) || [1] Nestlé Business Excellence function (H:Organizational|S:N/A|T:N/A) || [2] Laurent Freixe (H:Individual|S:N/A|T:N/A) || [3] Zone Americas (H:Organizational|S:N/A|T:N/A) || [4] Luis Cantarell (H:Individual|S:N/A|T:N/A) || [5] Zone EMENA (H:Organizational|S:N/A|T:N/A) || [6] Heiko Schipper (H:Individual|S:N/A|T:N/A) || [7] Nestlé Nutrition (H:Organizational|S:N/A|T:N/A) || [8] Greg Behar (H:Individual|S:N/A|T:N/A) || [9] Nestlé Health Science (H:Organizational|S:N/A|T:N/A) || [10] Humberto Antunes (H:Individual|S:N/A|T:N/A) || [11] Nestlé Skin Health (H:Organizational|S:N/A|T:N/A),Direct Causal Link,Chris Johnson led the function.,,1 -> 0: N/A,Yes
Nestle_Annual_Report_2014_page_8.pdf,"We further reinforced our business through continued active portfolio management, reviewing the performance of different products in different markets to assess strate gic fit, the extent to which they were accretive against our financial targets, and what investments were necessary to deliver growth. We made choices about where we wanted to invest, where we wanted to improve, and what we wanted to divest. Making such choices enables us to align our resourc es behind our best ideas, products and categories, to deliver sustained financial performance and help us on our journey to recognised Nutrition, Health and Wellness leadership over the short term and the long term.",Yes,0.85,"[0] Company management conducting portfolio review (H:Organizational|S:N/A|T:Short-Term) || [1] Strategic investment and divestment decisions (H:Organizational|S:N/A|T:Medium-Term) || [2] Nutrition, Health and Wellness leadership position (H:Inter-Organizational / Sector|S:N/A|T:Long-Term)",Causal Chain,"The company's portfolio management activities (reviewing, assessing, and making choices) lead to resource alignment decisions, which in turn are intended to deliver both short-term financial performance and long-term industry leadership in Nutrition, Health and Wellness.","Hierarchical, Temporal",0 -> 2: Organizational/Short-Term -> Organizational/Medium-Term -> Inter-Organizational/Long-Term,Yes,0.85,[0] Business portfolio management (H:Organizational|S:N/A|T:Short-Term) || [1] Investment decisions (H:Organizational|S:N/A|T:Short-Term) || [2] Sustained financial performance (H:Organizational|S:N/A|T:Long-Term),Causal Chain,Business portfolio management -> Investment decisions -> Sustained financial performance,Temporal,1 -> 3: Short-Term -> Long-Term,Yes,0.9,[0] Business portfolio management activities (H:Organizational|S:N/A|T:Short-Term) || [1] Financial performance assessment (H:Organizational|S:N/A|T:Long-Term) || [2] Investment decisions (H:Organizational|S:N/A|T:Short-Term),Causal Chain,Organizational decisions about portfolio management lead to improved financial performance over both short and long-term.,"Hierarchical, Temporal",0 -> 1: Organizational -> Organizational -> Long-Term || 0 -> 2: Organizational -> Organizational -> Short-Term,Yes,0.8,[0] We (Organization) (H:Organizational|S:N/A|T:Short-Term) || [1] Portfolio management (reviewing products) (H:Organizational|S:N/A|T:Short-Term) || [2] Financial performance (H:N/A|S:National|T:Long-Term),Causal Chain,Portfolio management -> Financial performance,,1 -> 2: N/A || 2 -> 3: Short-Term -> Long-Term,No
Nestle_Annual_Report_2014_page_8.pdf,"We also announced new investments and research collaborations, which will enhance our ability to deliver sci ence-based solutions to improve the quality of people’s lives. A newly-announced research partnership with the EpiGen consortium will help us to better develop our understanding of the influence of nutrition and genetics at the beginning of life and continue to build our knowledge in this important area. The Nestlé Institute of Health Sciences began a collab oration on a groundbreaking project, which could one day lead to the development of made-to-measure vitamin com binations tailored to individual needs. Our company was founded almost 150 years ago on the product Henri Nestlé invented, farine lactée. It saved the life of a child. Today we continue to invest in science-based innovation to ensure we can answer current and future needs.",Yes,0.85,[0] Nestlé (the company) (H:Organizational|S:Transnational / Cross-border|T:Long-Term) || [1] EpiGen consortium (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Medium-Term) || [2] Nestlé Institute of Health Sciences (H:Organizational|S:Local / Site-specific|T:Medium-Term) || [3] Henri Nestlé (founder) (H:Individual|S:Local / Site-specific|T:Long-Term) || [4] People/consumers benefiting from nutrition solutions (H:Individual|S:Transnational / Cross-border|T:Long-Term),Causal Chain,"Nestlé's organizational research investments and partnerships (with EpiGen consortium and through the Nestlé Institute of Health Sciences) aim to develop science-based nutrition solutions that ultimately improve individual people's lives, continuing the company's historical mission that began with its founder.",Hierarchical,0 -> 4: Organizational -> Individual || 2 -> 4: Organizational -> Local -> Individual || 3 -> 0: Individual -> Organizational -> Transnational,Yes,0.9,[0] New investments and research collaborations (H:Organizational|S:N/A|T:Short-Term) || [1] EpiGen consortium (H:Inter-Organizational / Sector|S:N/A|T:Medium-Term) || [2] Quality of people's lives (H:Individual|S:N/A|T:Long-Term),Causal Chain,Organizational -> Inter-Organizational / Sector -> Individual,"Hierarchical, Temporal",0 -> 2: Organizational -> Individual -> Long-Term,Yes,0.9,[0] Nestlé Institute of Health Sciences (H:Organizational|S:N/A|T:Long-Term) || [1] EpiGen consortium (H:Inter-Organizational / Sector|S:N/A|T:Long-Term) || [2] People (H:Individual|S:N/A|T:Long-Term),Causal Chain,Organizational -> Inter-Organizational / Sector -> Individual,"Hierarchical, Temporal",0 -> 1: Organizational -> Inter-Organizational / Sector -> Long-Term || 1 -> 2: Inter-Organizational / Sector -> Individual -> Long-Term,Yes,0.8,[0] Nestlé (H:Organizational|S:Transnational|T:Long-Term) || [1] EpiGen consortium (H:Inter-Organizational|S:Transnational|T:Medium-Term) || [2] People (H:Individual|S:N/A|T:N/A),Direct Causal Link,Nestlé -> EpiGen consortium,"Hierarchical, Temporal",0 -> 1: Organizational -> Inter-Organizational -> Medium-Term || 1 -> 2: Inter-Organizational -> Individual -> Transnational,No
