A: Paragraph Index,B: AI: Cross Scale (Consensus),C: Human Agreement with B (Agree/Disagree/Notes),All Models Align,Disagreement Type,Source,Full Paragraph Text,claude4: Interaction Present,claude4: Confidence,claude4: Scales,claude4: Links,claude4: Final Link,claude4: Scale Explanations,claude4: Summary,claude4: Rationale,gpt5: Interaction Present,gpt5: Confidence,gpt5: Scales,gpt5: Links,gpt5: Final Link,gpt5: Scale Explanations,gpt5: Summary,gpt5: Rationale,4o: Interaction Present,4o: Confidence,4o: Scales,4o: Links,4o: Final Link,4o: Scale Explanations,4o: Summary,4o: Rationale,gemini2.5: Interaction Present,gemini2.5: Confidence,gemini2.5: Scales,gemini2.5: Links,gemini2.5: Final Link,gemini2.5: Scale Explanations,gemini2.5: Summary,gemini2.5: Rationale
1,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_4.pdf,"We were ranked number one by the charity Oxfam in its 2014 scorecard, Behind the Brands. The survey scored 10 food and beverage companies on their efforts to improve food security.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph only describes a ranking outcome by Oxfam without any explicit causal interactions between different scales. It states what happened (ranking) but not how one scale influenced another.,Yes,0.67,"Organizational, Environmental and Societal",Organizational -> Environmental and Societal,Organizational -> Environmental and Societal,Organizational: Oxfam and the 10 food and beverage companies are individual organizations.; Environmental and Societal: Food security is a societal-level system.,"[Organizational, Environmental and Societal] Companies’ efforts targeted improving food security, a societal system.",The text explicitly connects companies’ actions to improving food security. Oxfam’s ranking is org-to-org and thus excluded. No individual or sector-system actors are described.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a ranking by Oxfam but does not explicitly state any cross-scale causal influence between defined scales.,Yes,1.0,"Organizational, Environmental and Societal",Organizational -> Environmental and Societal,Organizational -> Environmental and Societal,"Organizational: ""We"" (the company), ""Oxfam"", and ""10 food and beverage companies"" are all individual organizations or collections of individual organizations.; Environmental and Societal: ""food security"" represents a broad societal-level system or issue.","[Organizational, Environmental and Societal] Organizational actors' efforts explicitly influence environmental and societal food security.","The text explicitly states that '10 food and beverage companies' (Organizational scale) undertake 'efforts to improve food security' (Environmental and Societal scale), establishing a direct causal link. Other interactions, such as Oxfam ranking companies, occur within the Organizational scale and are thus not cross-scale. Only two distinct scales were identified."
4,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_6.pdf,"These developments ensure that, building on the strong foundations of our food and beverages business and guided increasingly by science, we can further expand our portfolio to provide promising platforms for future growth in line with our strategy of Nutrition, Health and Wellness. At the same time, we continue the drive to ensure our company is organised efficiently and effectively to deliver continuous profitable growth over the long term. With this objective in mind we made some key decisions, adapting our organisational structure to better prepare ourselves today to meet the challenges of tomorrow.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes internal organizational strategy and restructuring decisions but lacks explicit cross-scale causal interactions. All actions mentioned (expanding portfolio, organizational changes, strategic decisions) occur within the same organizational scale without clear causal influence from or to other defined scales.",Yes,0.61,"Environmental and Societal, Organizational",Environmental and Societal -> Organizational,Environmental and Societal -> Organizational,Environmental and Societal: Science as a societal knowledge system is said to guide actions.; Organizational: The company ('we/our company') making portfolio and structural decisions.,"[Environmental and Societal, Organizational] Science guides the company’s portfolio expansion.","The only explicit cross-scale influence is science guiding the company’s actions. Other statements concern internal strategy and structure, which are intra-organizational.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses internal organizational changes and strategies without explicit cross-scale causality involving other defined scales.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph exclusively describes actions and strategies of a single 'company' (Organizational scale). No explicit causal links between actors at different scales (Individual, Inter-Organizational, Environmental and Societal) are present. All identified actors and actions remain within the Organizational scale."
5,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_6.pdf,"While our company continues to benefit from its decentralised structure, allowing key decisions to be made as close as possible to consumers, there is still an important opportunity to better leverage our scale. That is why in 2014 we set up Nestlé Business Excellence at Executive Board Level, combining GLOBE (Nestlé’s Global Business Excellence function) with Nestlé Business Services (our shared operation for transactional services around the world) and Nestlé Con tinuous Excellence (our continuous improvement and LEAN programme). Through a focus on three areas: Simplifying, Standardising and Sharing, Nestlé Business Excellence will allow us to decrease structural costs and operational expenses, freeing up resources to support growth. This will also allow our markets to keep a sharp focus on generating demand.",Yes,0.85,"Individual, Organizational, Inter-Organizational / Sector",Organizational -> Individual | Organizational -> Inter-Organizational / Sector,Organizational -> Individual,"Individual: Consumers who receive key decisions made close to them; Organizational: Nestlé company with its decentralized structure and internal units like GLOBE, Nestlé Business Services; Inter-Organizational / Sector: Markets that generate demand and operational systems spanning multiple organizational units","[Organizational, Individual, Inter-Organizational] Nestlé's structure enables consumer-focused decisions and market demand generation",The text shows Nestlé (organizational) explicitly making decisions close to consumers (individual) and enabling markets (inter-organizational) to focus on demand generation. These represent clear cross-scale causal relationships where organizational changes directly impact other scales.,No,0.77,N/A,N/A,N/A,N/A,N/A,"All described actions are internal restructuring and cost-focus within Nestlé and its units. Consumers are mentioned, but no explicit causal effect across scales (e.g., org -> consumers) is stated.",Yes,0.9,"Organizational, Individual, Environmental and Societal",Organizational -> Individual | Organizational -> Environmental and Societal,Organizational -> Environmental and Societal,Organizational: Nestlé and its internal units like Nestlé Business Excellence.; Individual: Consumers who are affected by decisions made close to them.; Environmental and Societal: Markets as societal-level systems influenced by organizational actions.,"[Organizational, Individual, Environmental and Societal] Nestlé's structure and initiatives influence consumer decisions and market demand generation.","The paragraph describes how Nestlé's organizational structure and initiatives impact both individual consumers and societal-level markets. The clearest links are from organizational actions to individual and societal outcomes, with a focus on decision-making and market demand.",Yes,1.0,"Individual, Organizational",Organizational -> Individual,Organizational -> Individual,"Individual: Consumers are specific people/customers.; Organizational: Our company (Nestlé) and its internal units (Nestlé Business Excellence, GLOBE, NBS, NCE, markets) are all parts of one organization.","[Individual, Organizational] The company's organizational structure influences decision-making proximity to individual consumers.","The paragraph explicitly states how the company's (Organizational) decentralized structure influences the proximity of decision-making to consumers (Individual). All other interactions described are internal to the Organizational scale, such as Nestlé Business Excellence influencing 'our markets'."
6,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_6.pdf,"We have integrated the Maghreb, the Middle East, the North East Africa region, Turkey and Israel into Zone Europe to form Zone EMENA (Europe, Middle East and North Africa). This balances the different consumer dynamics and opportunities in each geography. Additionally it allows a sharper focus in Zone Asia, Oceania and Africa, a fast-growing part",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes organizational restructuring and geographic integration but lacks explicit cross-scale causal interactions. It mentions balancing consumer dynamics and allowing sharper focus, but these are strategic outcomes rather than concrete actors influencing other actors across scales.",Yes,0.56,"Organizational, Environmental and Societal",Organizational -> Environmental and Societal,Organizational -> Environmental and Societal,"Organizational: A company reorganizes regions into Zone EMENA and references Zone Asia, Oceania and Africa.; Environmental and Societal: Consumer dynamics and market opportunities across geographies.","[Organizational, Environmental and Societal] The firm's creation of Zone EMENA is stated to balance consumer dynamics/opportunities across geographies.","The text explicitly claims the organizational restructuring balances consumer dynamics/opportunities, creating a cross-scale effect. Other mentions (e.g., sharper focus in another zone) are intra-organizational and excluded. No inter-organizational or individual actors are present.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a geographical integration strategy but lacks explicit cross-scale causal interactions between defined scales.,Yes,1.0,"Organizational, Individual",Organizational -> Individual,Organizational -> Individual,Organizational: The 'We' (implied company) and the 'Zone EMENA' are organizational entities/structures.; Individual: 'consumer dynamics' refers to the characteristics and behaviors of individual consumers.,"[Individual, Organizational] An organizational integration aims to balance individual consumer dynamics.","The text describes an organizational decision to integrate regions into a new zone. This organizational action is explicitly stated to 'balance the different consumer dynamics', which are characteristics of individuals. This establishes a direct causal link from the Organizational scale to the Individual scale."
7,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_8.pdf,"The new Nestlé Business Excellence function is led by Chris Johnson, the former head of Zone Americas. Zone Americas is now led by Laurent Freixe, the former head of Zone Europe, and the new Zone EMENA by Luis Cantarell, who previously was in charge of Nestlé Nutrition and Nestlé Health Science. The new head of Nestlé Nutrition is Heiko Schipper, who was formerly responsible for our Global Infant Nutrition division. Nestlé Health Science is led by Greg Behar, who joined the company from Boehringer Ingelheim in July. The newly established Nestlé Skin Health is led by Humberto Antunes, former ly the Chief Executive Officer of our joint venture Galderma.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes organizational restructuring and leadership appointments within Nestlé, but contains no explicit causal interactions between different hierarchical scales. All described actions involve organizational-level role changes without cross-scale influence.",Yes,0.86,"Individual, Organizational",Individual -> Organizational,Individual -> Organizational,"Individual: Named executives (e.g., Chris Johnson, Laurent Freixe).; Organizational: Nestlé units/companies (e.g., Business Excellence, Zone Americas, Nestlé Nutrition).","[Individual, Organizational] Named executives lead specific Nestlé units, indicating person-to-organization influence.","The text explicitly states individuals lead organizations ('is led by'), a clear cross-scale causal influence. Only Individual and Organizational scales are present; no societal or inter-organizational systems are described.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes organizational changes within Nestlé, but no explicit cross-scale causal interactions are mentioned between different scales.",Yes,1.0,"Individual, Organizational",Individual -> Organizational | Individual -> Organizational | Individual -> Organizational | Individual -> Organizational | Individual -> Organizational | Individual -> Organizational | Individual -> Organizational | Individual -> Organizational | Individual -> Organizational | Individual -> Organizational | Organizational -> Individual | Individual -> Organizational | Individual -> Organizational,Individual -> Organizational,"Individual: Specific people (e.g., Chris Johnson, Laurent Freixe, Greg Behar) are identified as actors.; Organizational: Specific organizations or formal internal units (e.g., Nestlé Business Excellence function, Zone Americas, Boehringer Ingelheim, Galderma) are identified as actors.","[Individual, Organizational] The text details numerous instances of individuals leading organizational units and one instance of an organization hiring an individual.","The paragraph explicitly describes multiple individuals leading or having led specific organizational units, establishing clear causal links from the Individual to the Organizational scale. Additionally, one instance of an organization influencing an individual by hiring them is present. No other scales or types of cross-scale interactions were identified."
8,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_8.pdf,"We further reinforced our business through continued active portfolio management, reviewing the performance of different products in different markets to assess strate gic fit, the extent to which they were accretive against our financial targets, and what investments were necessary to deliver growth. We made choices about where we wanted to invest, where we wanted to improve, and what we wanted to divest. Making such choices enables us to align our resourc es behind our best ideas, products and categories, to deliver sustained financial performance and help us on our journey to recognised Nutrition, Health and Wellness leadership over the short term and the long term.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes internal organizational activities (portfolio management, product review, investment decisions) without explicit cross-scale causal interactions. All actions occur within one organizational entity making strategic choices about its own operations.",No,0.73,N/A,N/A,N/A,N/A,N/A,"Only organizational actions and outcomes are described (portfolio review, investment/divestment, resource alignment). No explicit causal influence between different scales is stated.",Yes,0.9,"Organizational, Environmental and Societal",Organizational -> Environmental and Societal,Organizational -> Environmental and Societal,"Organizational: The company is making strategic decisions about investments and divestments.; Environmental and Societal: The company's actions aim to achieve leadership in Nutrition, Health, and Wellness, impacting societal norms.","[Organizational, Environmental and Societal] The company's strategic decisions aim to achieve societal leadership in Nutrition, Health, and Wellness.","The paragraph describes how organizational decisions on investments and divestments are intended to influence societal leadership in Nutrition, Health, and Wellness. This is a clear cross-scale interaction.",No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph describes internal strategic management actions and outcomes of a single organization ('We' / 'our business'). All identified actors and their interactions, such as reviewing product performance, making investment choices, and aligning resources, occur solely within the Organizational scale. No explicit causal links between actors at different defined scales are present."
10,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_8.pdf,"It is our fundamental belief that to be successful over time we need to create value for our shareholders while at the same time creating value for society. We call this Creating Shared Value. To prosper we have to take a long-term view, framed in a robust set of principles and values that are based on respect: respect for people, respect for the environment, and respect for the world we live in. What we do and the effects of what we do are highly visible. It is our responsibility to connect with different stakeholders, to show transparency and build trust. We have therefore again in 2014 reported on our social performance and our compliance in our Nestlé in society report, and our progress towards meeting the tough targets we set ourselves.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes Nestlé's philosophy and reporting practices but contains no explicit causal relationships between different scales. While it mentions shareholders, society, stakeholders, and the company, these are presented as values and commitments rather than specific cross-scale influences or actions.",Yes,0.63,"Organizational, Individual, Environmental and Societal",Organizational -> Individual | Organizational -> Environmental and Societal,Organizational -> Environmental and Societal,"Organizational: “We”/Nestlé acts (publishes reports, sets targets).; Individual: Shareholders are people receiving value.; Environmental and Societal: Society/stakeholders are societal-level actors.","[Organizational, Individual, Environmental and Societal] The company seeks to benefit shareholders and uses reporting to build trust among societal stakeholders.",“We” maps to Nestlé. It explicitly claims creating value for shareholders (org→individual) and reporting to connect/build trust with stakeholders (org→societal). No inter-organizational dynamics are stated; duplicates omitted.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses abstract concepts and goals without explicit cross-scale causal interactions. No concrete actors at different scales are linked causally.,Yes,1.0,"Organizational, Individual, Environmental and Societal",Organizational -> Individual | Organizational -> Environmental and Societal,Organizational -> Environmental and Societal,"Organizational: Refers to 'we' (Nestlé), a single company.; Individual: Refers to 'shareholders' and 'people', specific individuals or informal groups.; Environmental and Societal: Refers to 'society', 'environment', 'world we live in', and 'stakeholders' as collective societal entities.","[Organizational, Individual, Environmental and Societal] Nestlé's organizational actions and values directly influence individuals (shareholders, people) and the broader environmental and societal systems through value creation, respect, and stakeholder engagement.","The text explicitly describes Nestlé (Organizational) creating value for and respecting 'shareholders' and 'people' (Individual). It also details Nestlé's efforts to create value for 'society', respect the 'environment', and connect with 'stakeholders' (Environmental and Societal). These interactions are direct and causal, linking the organization to both individual and societal scales."
15,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_12.pdf,"For almost 150 years we have enhanced people’s lives by offer ing tastier and healthier food and beverages choices at all stages of life and at any time of day, helping them care for themselves and their families. We have built our success by anticipating the future and continuously adapting ourselves to seize the opportunities it presents.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes general company activities and philosophy but lacks explicit causal relationships between different scales. While it mentions enhancing people's lives, no specific cross-scale interactions or mechanisms are described.",Yes,0.78,"Organizational, Individual",Organizational -> Individual,Organizational -> Individual,"Organizational: ""We"" refers to a company describing its success and offerings.; Individual: ""People"" and their families are end-users/households.","[Organizational, Individual] The company’s offerings improved individuals’ ability to care for themselves and families.","The text explicitly states the company’s products enhanced people’s lives, a direct org-to-individual causal claim. No societal/system actor is named, so only these two scales are used.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes general actions and outcomes without specifying cross-scale causal interactions. No explicit hierarchical links are present.,Yes,1.0,"Individual, Organizational",Organizational -> Individual,Organizational -> Individual,"Individual: Refers to 'people' and 'families' as specific individuals or informal groups.; Organizational: Refers to 'we', representing a company or brand.","[Individual, Organizational] An organization influences individuals by offering food choices that enhance their lives and help them care for their families.","The paragraph explicitly describes how an Organizational actor ('we') causally influences Individual actors ('people', 'families') by offering choices that enhance their lives and aid in their care. Only two distinct scales were identified, and the causality is direct and unambiguous."
17,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_12.pdf,"The Nestlé Strategic Roadmap (facing page) is our compass, driving internal alignment behind our goals. The roadmap shows the strengths we leverage to drive performance and deliver com petitive advantage. Our strong culture, values and principles, all based on respect, unite us worldwide.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes Nestlé's internal strategic roadmap and organizational culture but contains no explicit causal interactions between different hierarchical scales. All elements mentioned (roadmap, alignment, culture, values) operate within the same organizational scale without cross-scale causality.",Yes,0.66,"Organizational, Individual",Organizational -> Individual,Organizational -> Individual,"Organizational: Nestlé’s organization, including its culture and roadmap.; Individual: Employees referenced as “us worldwide.”","[Organizational, Individual] Nestlé’s culture explicitly unites its people worldwide.","The only explicit cross-scale causality is the organization’s culture uniting individuals. Other statements (roadmap driving internal alignment, performance, competitive advantage) lack clear cross-scale actors.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes internal alignment and cultural values within Nestlé, an organizational scale, without explicit cross-scale causality involving other scales.",Yes,1.0,"Organizational, Individual",Organizational -> Individual,Organizational -> Individual,"Organizational: Nestlé's Strategic Roadmap, goals, performance, competitive advantage, culture, values, and principles are all attributes or actions of a single organization.; Individual: 'us' refers to the specific people (workers) within Nestlé who are united by the organizational culture.","[Organizational, Individual] Nestlé's organizational culture and principles unite its individual workers worldwide.","The paragraph explicitly states that Nestlé's 'strong culture, values and principles' (Organizational scale) 'unite us worldwide' (Individual scale, referring to the company's employees). This demonstrates a clear causal influence from the Organizational level down to the Individual level. No other cross-scale interactions were identified as all other statements remained within the Organizational scale."
18,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_12.pdf,"Our ambition is not just to be the leader but the industry refer ence for Nutrition, Health and Wellness. In recent years we have built on the strong foundations of our unrivalled food and bev erage portfolio, exploring the benefits of nutrition’s therapeutic role with Nestlé Health Science. In 2014 we again expanded the boundaries of Nutrition, Health and Wellness with the creation of Nestlé Skin Health, offering scientifically-proven products and solutions for people’s skin health needs throughout their lives.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes Nestlé's strategic expansion into health divisions but contains no explicit cross-scale causal interactions. All actions (building portfolios, creating divisions) occur within the organizational scale without describing how these influence or are influenced by other scales.",Yes,0.72,"Organizational, Individual",Organizational -> Individual,Organizational -> Individual,"Organizational: Nestlé and its units (Nestlé Health Science, Nestlé Skin Health) are organizations.; Individual: “People” whose skin health needs are addressed.","[Organizational, Individual] Nestlé Skin Health provides products and solutions that address people’s skin health needs.","The text explicitly states an organization offers products to meet individuals’ needs, a direct cross-scale effect. Other statements describe organizational ambitions or intra-organizational actions, so excluded.",Yes,0.9,"Individual, Organizational",Organizational -> Individual,Organizational -> Individual,Individual: People's skin health needs are addressed.; Organizational: Nestlé and its divisions like Nestlé Health Science and Nestlé Skin Health.,"[Organizational, Individual] Nestlé Skin Health provides scientifically-proven products for individual skin health needs.",The paragraph describes Nestlé's organizational actions impacting individuals by providing skin health solutions. No inter-organizational or societal scales are explicitly involved.,Yes,0.9,"Individual, Organizational, Inter-Organizational / Sector",Organizational -> Individual,Organizational -> Individual,"Individual: Refers to 'people' as specific individuals or informal groups.; Organizational: Refers to 'Nestlé', 'Nestlé Health Science', and 'Nestlé Skin Health' as single organizations or formal units.; Inter-Organizational / Sector: Refers to 'industry' in the context of 'industry reference'.","[Individual, Organizational] Nestlé Skin Health provides products to meet the needs of individuals.","The text explicitly describes Nestlé Skin Health (Organizational) offering solutions directly to people (Individual), establishing a clear causal link. While 'industry reference' (Inter-Organizational / Sector) is mentioned, it represents an ambition rather than an explicit causal interaction, and thus no link involving this scale was identified."
