A: Paragraph Index,B: AI: Cross Scale (Consensus),C: Human Agreement with B (Agree/Disagree/Notes),All Models Align,Disagreement Type,Source,Full Paragraph Text,claude4: Interaction Present,claude4: Confidence,claude4: Scales,claude4: Links,claude4: Final Link,claude4: Scale Explanations,claude4: Summary,claude4: Rationale,gpt5: Interaction Present,gpt5: Confidence,gpt5: Scales,gpt5: Links,gpt5: Final Link,gpt5: Scale Explanations,gpt5: Summary,gpt5: Rationale,4o: Interaction Present,4o: Confidence,4o: Scales,4o: Links,4o: Final Link,4o: Scale Explanations,4o: Summary,4o: Rationale,gemini2.5: Interaction Present,gemini2.5: Confidence,gemini2.5: Scales,gemini2.5: Links,gemini2.5: Final Link,gemini2.5: Scale Explanations,gemini2.5: Summary,gemini2.5: Rationale
0,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_4.pdf,"We remain the only infant formula manufacturer included in FTSE’s responsible investment index, based on our performance in human rights, labour rights, responsible marketing of breast-milk substitutes and more.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes a company's inclusion in an investment index based on performance criteria, but contains no explicit causal interactions between actors at different spatial scales. It's a statement about corporate recognition without spatial cross-scale dynamics.",No,0.9,N/A,N/A,N/A,N/A,N/A,Only a company’s inclusion in a global FTSE index is mentioned; no explicit causal interaction across defined spatial scales is stated.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph does not describe any explicit cross-scale interaction between different geographical actors.,No,1.0,N/A,N/A,N/A,N/A,N/A,The paragraph describes an infant formula manufacturer's inclusion in a global investment index based on its performance. Both the manufacturer (implied global entity) and the FTSE index operate at the Transnational / Cross-border scale. No explicit causal links between different spatial scales are present.
1,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_4.pdf,"We were ranked number one by the charity Oxfam in its 2014 scorecard, Behind the Brands. The survey scored 10 food and beverage companies on their efforts to improve food security.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a ranking by Oxfam but contains no explicit causal interactions between actors at different spatial scales. It only states a comparative assessment outcome without showing how one scale influences another.,No,0.76,N/A,N/A,N/A,N/A,N/A,"The text only states that Oxfam ranked companies on a scorecard; it does not describe any causal influence across different spatial scales. No explicit local, regional, national, or transnational cross-scale link is made.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a ranking by Oxfam but does not provide any explicit cross-scale causal interactions between different spatial scales.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph describes interactions between Oxfam and food and beverage companies, both of which operate at a Transnational scale. No explicit causal links between actors at different spatial scales are present."
2,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_6.pdf,"The business environment was again marked by great uncertainty in 2014. Disruptive socio-economic and political change continued to affect growth in many parts of the world. In the emerging markets, economic volatility worsened as growth rates slowed and currencies weakened. In the developed markets, deflationary pressures and soft consumer demand resulted in a continued challenging trading environment. In the face of such uncertainty it was more important than ever to stay the course and remain loyal to our strategy, driving short-term performance while ensuring we made the right decisions to deliver our long-term goals. We took decisive steps to further our ambition to be the world’s recognised leading Nutrition, Health and Wellness company, trusted by all stakeholders, while again delivering financial results in 2014 that outperformed the market.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes general economic conditions across emerging and developed markets without identifying specific actors or explicit causal relationships between different spatial scales. It focuses on a company's strategic response to market conditions rather than cross-scale interactions.,No,0.87,N/A,N/A,N/A,N/A,N/A,The text provides broad global market conditions and firm strategy without explicit causal links between actors at different spatial scales.,No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph discusses economic conditions and company strategy without identifying specific actors or actions at different spatial scales, thus no cross-scale interaction is present.",No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph describes global economic conditions and a company's response to them. All mentioned phenomena (e.g., 'growth in many parts of the world', 'emerging markets', 'developed markets', 'economic volatility') operate at the Transnational / Cross-border scale. There are no explicit causal links identified between actors at different spatial scales."
4,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_6.pdf,"These developments ensure that, building on the strong foundations of our food and beverages business and guided increasingly by science, we can further expand our portfolio to provide promising platforms for future growth in line with our strategy of Nutrition, Health and Wellness. At the same time, we continue the drive to ensure our company is organised efficiently and effectively to deliver continuous profitable growth over the long term. With this objective in mind we made some key decisions, adapting our organisational structure to better prepare ourselves today to meet the challenges of tomorrow.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph discusses corporate strategy, organizational structure, and business portfolio expansion without identifying any specific spatial actors or geographical scales. All content relates to internal company operations and strategic planning without explicit spatial or cross-scale causal relationships.",No,0.9,N/A,N/A,N/A,N/A,N/A,No geographic actors or scales are mentioned; the text discusses internal corporate strategy without cross-scale causal influence.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses internal company strategies without mentioning any specific geographical scales or cross-scale interactions.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph discusses internal company strategy, portfolio expansion, and organizational structure. It does not identify any concrete actors or actions with explicit geographical relevance that interact across different spatial scales."
7,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_8.pdf,"The new Nestlé Business Excellence function is led by Chris Johnson, the former head of Zone Americas. Zone Americas is now led by Laurent Freixe, the former head of Zone Europe, and the new Zone EMENA by Luis Cantarell, who previously was in charge of Nestlé Nutrition and Nestlé Health Science. The new head of Nestlé Nutrition is Heiko Schipper, who was formerly responsible for our Global Infant Nutrition division. Nestlé Health Science is led by Greg Behar, who joined the company from Boehringer Ingelheim in July. The newly established Nestlé Skin Health is led by Humberto Antunes, former ly the Chief Executive Officer of our joint venture Galderma.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes internal corporate restructuring and personnel changes within Nestlé's organizational divisions. While it mentions geographic zones like Americas and Europe, these are administrative divisions rather than actors with causal influence across spatial scales.",No,0.9,N/A,N/A,N/A,N/A,N/A,All mentioned actors are corporate units/leaders operating at the same transnational scale; no explicit causal links across different spatial scales are stated.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes organizational changes within Nestlé without any explicit geographical cross-scale interactions.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph describes internal personnel changes and organizational restructuring within a global company. All mentioned entities (e.g., 'Zone Americas', 'Global Infant Nutrition division') operate at the Transnational scale. There are no explicit causal links between actors operating at different geographical scales as defined (Local, Sub-national, National, Transnational)."
8,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_8.pdf,"We further reinforced our business through continued active portfolio management, reviewing the performance of different products in different markets to assess strate gic fit, the extent to which they were accretive against our financial targets, and what investments were necessary to deliver growth. We made choices about where we wanted to invest, where we wanted to improve, and what we wanted to divest. Making such choices enables us to align our resourc es behind our best ideas, products and categories, to deliver sustained financial performance and help us on our journey to recognised Nutrition, Health and Wellness leadership over the short term and the long term.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses corporate portfolio management and business strategy without identifying specific geographical actors or locations. All activities described are internal business operations without explicit spatial scale interactions.,No,0.9,N/A,N/A,N/A,N/A,N/A,No explicit geographical actors or cross-scale causal influences are stated; 'different markets' is vague and not tied to a specific scale.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses internal business strategy without explicit cross-scale geographical interactions.,No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes a business making strategic decisions about its portfolio across 'different markets.' While a causal link exists between the business's decisions and its operations in these markets, the text does not explicitly define the geographical scales of the 'business' or the 'markets' in a way that guarantees a cross-scale interaction. The scales could be the same (e.g., a global company managing global markets, or a local company managing local markets), thus no explicit cross-scale link is present."
10,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_8.pdf,"It is our fundamental belief that to be successful over time we need to create value for our shareholders while at the same time creating value for society. We call this Creating Shared Value. To prosper we have to take a long-term view, framed in a robust set of principles and values that are based on respect: respect for people, respect for the environment, and respect for the world we live in. What we do and the effects of what we do are highly visible. It is our responsibility to connect with different stakeholders, to show transparency and build trust. We have therefore again in 2014 reported on our social performance and our compliance in our Nestlé in society report, and our progress towards meeting the tough targets we set ourselves.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses corporate philosophy and reporting practices without identifying specific spatial actors or explicit causal relationships between different geographical scales. All statements are abstract principles rather than concrete spatial interactions.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph contains corporate values and reporting statements but no explicit causal interactions between actors at different spatial scales.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses abstract principles and values without specifying concrete actors or actions at different spatial scales.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph describes a company's internal philosophy, values, and reporting practices. It does not explicitly state any causal interactions where an actor at one spatial scale influences or is influenced by an actor at another distinct spatial scale."
11,Yes,,Yes,Unanimous,Nestle_Annual_Report_2014_page_8.pdf,"In 2014 we held another successful Creating Shared Value forum, this time at the Nestlé Research Center in Lausanne, co-organised for the first time with a United Nations body, the UN Conference on Trade and Development (UNCTAD). The President of the Swiss Confederation used his address to the event to plead for water to become a self-standing goal of the future global development agenda. At the event we renewed our long-standing partnership with the International Federation of Red Cross and Red Crescent Societies. Since 2006 this collaboration has focused on the improvement of rural communities’ access to clean water and sanitation.",Yes,0.8,"Local / Site-specific, National, Transnational / Cross-border",National -> Transnational / Cross-border | Transnational / Cross-border -> Local / Site-specific,"National -> Transnational / Cross-border, Transnational / Cross-border -> Local / Site-specific",Local / Site-specific: Rural communities receiving water and sanitation improvements; National: Swiss Confederation President advocating for water policy; Transnational / Cross-border: UN body (UNCTAD) and global development agenda,"[National, Transnational / Cross-border, Local / Site-specific] Swiss President advocates for global water goals while international partnership improves rural water access","The Swiss President explicitly advocated to influence global development agenda, and the international partnership explicitly targets rural community improvements. These represent clear cross-scale causal influences.",Yes,0.76,"Local / Site-specific, National, Transnational / Cross-border",Transnational / Cross-border -> Local / Site-specific | National -> Transnational / Cross-border,Transnational / Cross-border -> Local / Site-specific,Local / Site-specific: Nestlé Research Center in Lausanne; rural communities’ access.; National: President of the Swiss Confederation (country-level leader).; Transnational / Cross-border: UNCTAD and the International Federation of Red Cross and Red Crescent Societies; global development agenda.,"[Local / Site-specific, National, Transnational / Cross-border] IFRC targets rural water access locally; Swiss President seeks to shape the global development agenda.","Transnational actors (IFRC) act to improve local rural water access, yielding a clear transnational-to-local link. The Swiss President’s plea targets the global agenda, a national-to-transnational link.",Yes,0.8,"Local / Site-specific, Transnational / Cross-border, National",National -> Transnational / Cross-border | Transnational / Cross-border -> Local / Site-specific,"National -> Transnational / Cross-border, Transnational / Cross-border -> Local / Site-specific",Local / Site-specific: Improvement of rural communities’ access to clean water and sanitation.; Transnational / Cross-border: UNCTAD and International Federation of Red Cross and Red Crescent Societies are multi-country entities.; National: The President of the Swiss Confederation represents a national actor.,"[Local / Site-specific, Transnational / Cross-border, National] The Swiss President's address at a UNCTAD event links national to transnational, impacting local water access through partnerships.","The President's address at a UNCTAD event shows a national to transnational link. The partnership with the Red Cross impacts local water access, showing a transnational to local link. These are the clearest cross-scale interactions present.",Yes,1.0,"Local / Site-specific, National, Transnational / Cross-border",National -> Transnational / Cross-border | Transnational / Cross-border -> Local / Site-specific,"National -> Transnational / Cross-border, Transnational / Cross-border -> Local / Site-specific","Local / Site-specific: Rural communities are specific places.; National: The President of the Swiss Confederation represents a country.; Transnational / Cross-border: UNCTAD, IFRC, and the global development agenda operate across multiple countries or globally.","[Local / Site-specific, National, Transnational / Cross-border] A national leader influenced a transnational agenda, and a transnational collaboration impacted local communities.","Two explicit cross-scale links were identified. The President of the Swiss Confederation (National) influenced the global development agenda (Transnational), and a transnational collaboration (Nestlé/IFRC) directly improved conditions for rural communities (Local)."
12,Yes,,Yes,Unanimous,Nestle_Annual_Report_2014_page_8.pdf,"Currently, at the United Nations there are intense discussions about the global development goals for the period after 2015. At the same time, governments and international organ isations are increasingly reliant on the expertise, experience and resources of the private sector to help address some of the world’s most pressing problems. This offers an opportunity for global companies such as Nestlé to make a valu able contribution, in partnership with governments and civil society. We are participating actively in the policy dialogue in areas which will deeply influence our future business, such as food security, nutrition and health, water, sustainability, and human rights.",Yes,0.85,"Transnational / Cross-border, National, Local / Site-specific",Transnational / Cross-border -> National | National -> Local / Site-specific,"Transnational / Cross-border -> National, National -> Local / Site-specific",Transnational / Cross-border: United Nations discussions on global development goals and international organisations; National: Governments relying on private sector expertise; Local / Site-specific: Nestlé as a specific global company participating in policy dialogue,"[Transnational / Cross-border, National, Local / Site-specific] UN development goals drive government reliance on private sector, creating partnership opportunities for companies like Nestlé.","The text shows a clear causal chain where UN-level discussions influence national governments' approach to private sector partnerships, which then creates specific opportunities for companies like Nestlé. Each link represents explicit causal influence rather than mere correlation.",Yes,0.64,"Transnational / Cross-border, National",Transnational / Cross-border -> National,Transnational / Cross-border -> National,"Transnational / Cross-border: United Nations, international organisations, and global companies such as Nestlé.; National: Governments are cited as actors relying on the private sector.","[Transnational / Cross-border, National] Governments rely on global companies’ expertise/resources to address problems.","The text explicitly states governments depend on private-sector (global) expertise, implying a causal influence from transnational firms to national governments. Same-scale links (e.g., UN to companies) were excluded.",Yes,0.9,"Transnational / Cross-border, National",Transnational / Cross-border -> National,Transnational / Cross-border -> National,Transnational / Cross-border: United Nations discussions and global companies like Nestlé.; National: Governments participating in policy dialogue.,"[Transnational / Cross-border, National] Global companies and international organizations influence national governments through policy dialogue.","The text describes how global companies and international organizations engage with national governments in policy dialogue, creating a cross-scale interaction. Only two scales are clearly involved, so no further scales are needed.",Yes,0.9,"National, Transnational / Cross-border",National -> Transnational / Cross-border | Transnational / Cross-border -> National | Transnational / Cross-border -> National,"National -> Transnational / Cross-border, Transnational / Cross-border -> National","National: Refers to 'governments' and 'civil society' operating within a country's boundaries, engaging with global entities.; Transnational / Cross-border: Encompasses 'United Nations', 'international organisations', and 'global companies such as Nestlé' operating across multiple countries.","[National, Transnational / Cross-border] National governments are reliant on the transnational private sector, which in turn contributes to national governments and civil society.",The paragraph explicitly describes national governments' reliance on the transnational private sector and the private sector's contributions to national governments and civil society. These interactions clearly demonstrate causal influences between the national and transnational scales.
13,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_9.pdf,"Our success has always been based upon our determination to stay the course and look ahead, to understand the environment in which we operate, to organise ourselves to seize opportunities to deliver profitable growth, now and in the future. Although we are operating in a challenging and turbulent economic environment, we see these as fascinating times, full of opportunities. We continue to commit ourselves to ambitious financial targets. We aim to achieve organic growth of around 5% to 6%, improvements in margins and underlying earnings per share in constant currencies, as well as capital efficiency. There will be years when we exceed our ambition and years where we come close, but this is the line we want to walk over time.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses corporate strategy and financial targets without identifying specific spatial actors or locations. No cross-scale geographical interactions are present as the text focuses on business performance metrics rather than spatially-defined entities influencing each other.,No,0.94,N/A,N/A,N/A,N/A,N/A,"No concrete actors or places are named, and no explicit causal influence across spatial scales is described.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses abstract business strategies and goals without specifying any actors or actions with spatial relevance across different scales.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph describes a company's internal business strategy and financial goals without mentioning any specific geographical locations, actors at different spatial scales, or causal interactions between them."
