A: Paragraph Index,B: AI: Cross Scale (Consensus),C: Human Agreement with B (Agree/Disagree/Notes),All Models Align,Disagreement Type,Source,Full Paragraph Text,claude4: Interaction Present,claude4: Confidence,claude4: Scales,claude4: Links,claude4: Final Link,claude4: Scale Explanations,claude4: Summary,claude4: Rationale,gpt5: Interaction Present,gpt5: Confidence,gpt5: Scales,gpt5: Links,gpt5: Final Link,gpt5: Scale Explanations,gpt5: Summary,gpt5: Rationale,4o: Interaction Present,4o: Confidence,4o: Scales,4o: Links,4o: Final Link,4o: Scale Explanations,4o: Summary,4o: Rationale,gemini2.5: Interaction Present,gemini2.5: Confidence,gemini2.5: Scales,gemini2.5: Links,gemini2.5: Final Link,gemini2.5: Scale Explanations,gemini2.5: Summary,gemini2.5: Rationale
3,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_6.pdf,"Through continuous innovation and renovation of our food and beverages portfolio we are able to offer people healthier and tastier choices at every stage of their life, at any time of the day. Science-based innovation enables us to enhance the quality of people’s diets, using our knowledge and our research and development capability to make a positive contribution to society. Wherever you are in the world, we have safe, nutritious products to help you care for yourself and your family. A few years ago, we expanded the boundaries of Nutrition, Health and Wellness with the creation of Nestlé Health Science, motivated by the opportunity to forge a major therapeutic role for nutrition in the management of health. In line with this broadened strategy, in 2014 the Board approved the sale of 48.5 million L’Oréal shares to L’Oréal for cancellation. Part of the proceeds were used for the acquisition of the 50% stake in our joint venture Galderma from L’Oréal, bringing our ownership of Galderma to 100%. Galderma formed the foundation of a new Nestlé subsidiary, Nestlé Skin Health. Its goal is to be recognised as the leading company in skin health, offering science-based solutions to protect, nourish and enhance skin, and where needed to treat, correct and restore damaged skin over the course of people’s lives. Nestlé Skin Health provides prescription drugs, self-medication, therapeutic skin care and aesthetic and corrective medicine, allowing us to compete in the growing and promising multi-billion global skincare market. Nestlé Skin Health was further strengthened by the acquisition of the full rights to commercialise several key aesthetic dermatology products in the United States and Canada.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes Nestlé's corporate strategy and business operations but lacks explicit causal relationships between actors at different spatial scales. While it mentions global presence and specific regional acquisitions, these are descriptive statements about corporate activities rather than cross-scale interactions where one spatial level causally influences another.",Yes,0.62,"Transnational / Cross-border, National",Transnational / Cross-border -> National,Transnational / Cross-border -> National,Transnational / Cross-border: Nestlé operates in the global skincare market and across countries.; National: Rights to commercialise products in the United States and Canada are specified.,"[Transnational / Cross-border, National] A global firm acquired rights enabling product commercialization within US and Canadian national markets.",The text explicitly ties a transnational firm's acquisition to commercialization rights in specific countries. No other explicit cross-scale causal links are described.,Yes,0.9,N/A,Transnational / Cross-border -> National | National -> Local / Site-specific,"Transnational / Cross-border -> National, National -> Local / Site-specific",N/A,"[Transnational / Cross-border, National, Local / Site-specific] Nestlé's global strategy impacts national markets, which in turn affect local operations in the US and Canada.","The text describes Nestlé's global strategy affecting national markets, which then influence local operations. The three scales are necessary to capture the full interaction chain from global to local levels.",Yes,1.0,"Transnational / Cross-border, National",Transnational / Cross-border -> National,Transnational / Cross-border -> National,Transnational / Cross-border: Nestlé operates 'Wherever you are in the world' and competes in the 'global skincare market'.; National: 'United States and Canada' are specific country-level markets.,"[Transnational / Cross-border, National] A transnational company acquired commercial rights for products in specific national markets.","The paragraph explicitly states Nestlé Skin Health, a transnational entity, acquired commercial rights for products in the United States and Canada, which are national scales. This demonstrates a direct causal influence from a transnational actor on national markets."
5,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_6.pdf,"While our company continues to benefit from its decentralised structure, allowing key decisions to be made as close as possible to consumers, there is still an important opportunity to better leverage our scale. That is why in 2014 we set up Nestlé Business Excellence at Executive Board Level, combining GLOBE (Nestlé’s Global Business Excellence function) with Nestlé Business Services (our shared operation for transactional services around the world) and Nestlé Con tinuous Excellence (our continuous improvement and LEAN programme). Through a focus on three areas: Simplifying, Standardising and Sharing, Nestlé Business Excellence will allow us to decrease structural costs and operational expenses, freeing up resources to support growth. This will also allow our markets to keep a sharp focus on generating demand.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes internal corporate restructuring and business operations without identifying specific geographical actors or explicit causal relationships between different spatial scales. While it mentions 'markets' and 'around the world,' these are abstract business concepts rather than concrete spatial actors with cross-scale interactions.",Yes,0.62,"Transnational / Cross-border, National, Local / Site-specific",Transnational / Cross-border -> Local / Site-specific | Transnational / Cross-border -> National,Transnational / Cross-border -> National,Transnational / Cross-border: Global Executive Board-level 'Nestlé Business Excellence' and functions 'around the world'.; National: 'Our markets' refers to country-level market units.; Local / Site-specific: 'Decisions ... as close as possible to consumers' indicates local decision-making.,"[Transnational / Cross-border, National, Local / Site-specific] Global Nestlé programs let country markets focus on demand and enable local, consumer-proximate decision-making.","Global corporate functions are stated to enable both local decision-making and country market focus, forming two explicit top-down links. We keep three scales to reflect global-to-national and global-to-local effects.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes internal company strategies without explicit cross-scale geographical interactions.,Yes,0.9,"Transnational / Cross-border, Local / Site-specific, National",Transnational / Cross-border -> Local / Site-specific | Transnational / Cross-border -> National,"Transnational / Cross-border -> Local / Site-specific, Transnational / Cross-border -> National","Transnational / Cross-border: Nestlé is a global company with 'Global' functions and operations 'around the world'.; Local / Site-specific: Decisions are made 'as close as possible to consumers', representing specific places.; National: 'Our markets' are operational units generating demand, distinct from local consumers and the transnational company.","[Transnational / Cross-border, Local / Site-specific, National] Nestlé's transnational structure enables local decision-making, and its global business excellence initiatives empower national markets.",The paragraph explicitly details how Nestlé's transnational structure influences local decision-making and how its global business excellence function impacts national market operations. These two distinct causal pathways demonstrate cross-scale interactions involving three clearly defined scales.
6,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_6.pdf,"We have integrated the Maghreb, the Middle East, the North East Africa region, Turkey and Israel into Zone Europe to form Zone EMENA (Europe, Middle East and North Africa). This balances the different consumer dynamics and opportunities in each geography. Additionally it allows a sharper focus in Zone Asia, Oceania and Africa, a fast-growing part",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes organizational restructuring of geographical zones but contains no explicit causal interactions between actors at different spatial scales. It only explains how regions are being grouped together for business purposes without showing cross-scale influence.,Yes,0.69,"Transnational / Cross-border, National",Transnational / Cross-border -> National,Transnational / Cross-border -> National,Transnational / Cross-border: Zone Europe/EMENA spans multiple countries.; National: Turkey and Israel are individual countries affected by the integration.,"[Transnational / Cross-border, National] Integrating Turkey and Israel into EMENA shows a cross-border zone reshaping country-level operations.","The paragraph states a transnational zone (EMENA) integrating national units (Turkey, Israel), a clear top-down cross-scale effect. Other regions cited are same-scale or too vague to form additional links.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a regional integration but lacks explicit cross-scale causal interactions between defined scales.,No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes an organizational restructuring of geographical areas by an external actor ('We'), not a causal influence between actors or dynamics at different spatial scales. The regions and countries mentioned are objects of this action, not actors influencing or being influenced by other scales."
9,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_8.pdf,"We also announced new investments and research collaborations, which will enhance our ability to deliver sci ence-based solutions to improve the quality of people’s lives. A newly-announced research partnership with the EpiGen consortium will help us to better develop our understanding of the influence of nutrition and genetics at the beginning of life and continue to build our knowledge in this important area. The Nestlé Institute of Health Sciences began a collab oration on a groundbreaking project, which could one day lead to the development of made-to-measure vitamin com binations tailored to individual needs. Our company was founded almost 150 years ago on the product Henri Nestlé invented, farine lactée. It saved the life of a child. Today we continue to invest in science-based innovation to ensure we can answer current and future needs.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph discusses corporate research partnerships and innovation activities but lacks explicit spatial references or geographical actors. While mentioning collaborations and institutes, no specific locations or cross-scale causal relationships are identified.",No,0.3,N/A,N/A,N/A,N/A,N/A,"No explicit geographic scales or cross-scale causal relationships are stated. Actors (company, consortium, institute) are not tied to specific spatial scales in the text.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes collaborations and investments without specifying spatial scales or cross-scale interactions.,Yes,0.9,"Transnational / Cross-border, Local / Site-specific",Transnational / Cross-border -> Local / Site-specific | Transnational / Cross-border -> Local / Site-specific,Transnational / Cross-border -> Local / Site-specific,"Transnational / Cross-border: Refers to 'We' and 'Our company' (Nestlé), a global entity, and its 'Nestlé Institute of Health Sciences'.; Local / Site-specific: Refers to 'people’s lives' and 'individual needs', representing specific impacts on individuals or local populations.","[Transnational / Cross-border, Local / Site-specific] A global company's investments and research collaborations aim to deliver science-based solutions and products tailored to improve the quality of people's lives at the local level.","The paragraph explicitly describes how a transnational company's actions (investments, research collaborations, projects) are intended to causally influence outcomes at the local level (improving individual lives, tailoring products to individual needs). Only two distinct scales were clearly identifiable and causally linked based on explicit wording."
20,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_14.pdf,"Nutrition, Health and Wellness is a priority for the people who buy our products, for society as a whole and for us as a busi ness. As the world’s leading food and beverage company we have a responsibility to use our knowledge and our research and development capability to make a positive difference to society. We have an important role to play in not only provid ing good nutrition but in helping people understand its value.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses a company's general responsibility and role regarding nutrition without specifying any geographical locations or spatial scales. No concrete actors with spatial attributes or cross-scale causal relationships are identified.,No,0.89,N/A,N/A,N/A,N/A,N/A,"The paragraph mentions a global company and generic ‘society’ but provides no explicit, geographically defined cross-scale causal link between different spatial actors.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses abstract responsibilities and roles without specifying concrete actors or actions at different spatial scales.,Yes,0.9,"Transnational / Cross-border, Local / Site-specific",Transnational / Cross-border -> Local / Site-specific,Transnational / Cross-border -> Local / Site-specific,"Transnational / Cross-border: The text refers to 'the world’s leading food and beverage company', indicating a global presence and influence.; Local / Site-specific: The text mentions 'people who buy our products' and 'helping people understand its value', referring to individual consumers at specific locations.","[Transnational / Cross-border, Local / Site-specific] The world's leading food and beverage company influences people by providing nutrition and education.",The paragraph explicitly states the 'world’s leading food and beverage company' (Transnational) acts to influence 'people' (Local) through nutrition and education. No other explicit cross-scale causal links were identified in the text.
23,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_14.pdf,"We are carrying out large-scale studies together with lead ing scientists of children’s diet and lifestyles, based on the success of the Nestlé Feeding Infants and Toddlers Study. In addition to dietary intakes and behaviours, our research explores family dynamics around diets and key lifestyle patterns of children while documenting their height and weight. We use this data to support our product reformulation, consumer communication and educational programmes, and we share the results with the wider scientific community, non-governmental organisations and others.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes Nestlé's research activities and data usage but lacks explicit spatial actors or cross-scale causal relationships. While the company operates globally, no specific geographical scales or their interactions are mentioned in the text.",Yes,0.63,"Local / Site-specific, Transnational / Cross-border",Local / Site-specific -> Transnational / Cross-border,Local / Site-specific -> Transnational / Cross-border,"Local / Site-specific: Data on family dynamics, children's diets, behaviours, height and weight.; Transnational / Cross-border: A multinational company ('we') reformulates products and runs programmes; shares with wider scientific community and NGOs.","[Local / Site-specific, Transnational / Cross-border] Local family/child diet and growth data is used by a multinational to reformulate products and design programmes.",Local-level data from families/children explicitly informs a transnational firm's product and programme decisions. No other scales are explicitly linked causally in the text.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes research activities and data sharing but does not explicitly mention any cross-scale causal interactions between actors at different spatial scales.,Yes,0.8,"Transnational / Cross-border, Local / Site-specific",Transnational / Cross-border -> Local / Site-specific,Transnational / Cross-border -> Local / Site-specific,"Transnational / Cross-border: Nestlé's 'large-scale studies' and sharing with the 'wider scientific community' indicate a multi-country scope.; Local / Site-specific: 'Educational programmes' are typically implemented in specific communities, schools, or facilities.","[Transnational / Cross-border, Local / Site-specific] Data from large-scale transnational studies informs and supports local educational programs.","The paragraph describes Nestlé (Transnational) conducting large-scale studies. The data from these studies is explicitly used to support 'educational programmes,' which are typically implemented at a Local / Site-specific level. This establishes a clear causal link between these two distinct spatial scales."
25,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_14.pdf,"By the end of 2014 the Nestlé Healthy Kids programme was in 73 countries, supporting initiatives which demonstrate how appropriate nutrition and exercise can improve the health of children and their communities. In addition, our own studies in four countries have shown that two thirds of children are insufficiently hydrated when they arrive at school. In 2014 we provided tools and information that schools, parents and caregivers need to ensure children learn about the benefits of healthy hydration.",Yes,0.8,"Transnational / Cross-border, Local / Site-specific",Transnational / Cross-border -> Local / Site-specific,Transnational / Cross-border -> Local / Site-specific,Transnational / Cross-border: Nestlé programme operating across 73 countries globally; Local / Site-specific: Individual schools receiving tools and information,"[Transnational / Cross-border, Local / Site-specific] Global Nestlé programme provides nutrition tools directly to individual schools.","The text explicitly states Nestlé's 73-country programme provided tools to schools, creating a clear transnational-to-local link. The four-country studies inform but don't create additional cross-scale interactions.",Yes,0.73,"Transnational / Cross-border, Local / Site-specific",Transnational / Cross-border -> Local / Site-specific,Transnational / Cross-border -> Local / Site-specific,"Transnational / Cross-border: Nestlé Healthy Kids operated in 73 countries and provided tools/information.; Local / Site-specific: Schools, parents, caregivers, and children’s communities are local actors.","[Transnational / Cross-border, Local / Site-specific] A cross-country Nestlé program supported initiatives and gave tools to schools/parents, directly shaping local child health learning.","Nestlé’s multi-country program is transnational; schools/communities are local. The text explicitly links transnational actions (support, tools) to local actors’ behavior and outcomes; no other scales are explicitly engaged.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes actions at a transnational scale but lacks explicit causal links between different spatial scales.,Yes,1.0,"Transnational / Cross-border, Local / Site-specific",Transnational / Cross-border -> Local / Site-specific | Transnational / Cross-border -> Local / Site-specific,Transnational / Cross-border -> Local / Site-specific,"Transnational / Cross-border: Nestlé Healthy Kids programme operates in 73 countries; Nestlé's studies are in four countries, indicating multi-country operations.; Local / Site-specific: Initiatives improve health of children and their communities; children arrive at school; schools, parents and caregivers operate at this level.","[Transnational / Cross-border, Local / Site-specific] Nestlé's transnational programs and provision of resources directly influence local initiatives and actors like schools and parents.",The paragraph explicitly details Nestlé's transnational program supporting local initiatives and its global entity providing tools to local actors. These actions demonstrate clear causal links from the transnational scale to the local scale.
26,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_14.pdf,"United for Healthier Kids is a platform, created by Nestlé in 2014, where society can engage and collaborate to find ways to improve the health and wellness of children, from conception to the age of 12 years. In Mexico, a TV series was launched which supports and encourages five families looking to change their eating and lifestyle habits over six months. The platform has also been launched in the Philippines.",Yes,0.8,"Transnational / Cross-border, National",Transnational / Cross-border -> National,Transnational / Cross-border -> National,Transnational / Cross-border: Nestlé's United for Healthier Kids platform operates across multiple countries; National: TV series launched specifically in Mexico and platform launched in the Philippines,"[Transnational / Cross-border, National] Nestlé's global platform launches country-specific health programs in Mexico and Philippines.",The link shows Nestlé's transnational platform explicitly creating national-level implementations. Only two scales are clearly present in the text.,Yes,0.73,"Transnational / Cross-border, National, Local / Site-specific",National -> Local / Site-specific | Transnational / Cross-border -> National,National -> Local / Site-specific,Transnational / Cross-border: United for Healthier Kids platform created by Nestlé spans multiple countries.; National: Actions specified in Mexico and the Philippines.; Local / Site-specific: Five families in Mexico targeted by the TV series.,"[Transnational / Cross-border, National, Local / Site-specific] A country-level TV series in Mexico supports five families, and a cross-border platform is launched at the national level in the Philippines.",The Mexico TV series explicitly supports local families (national to local). The platform’s launch in the Philippines shows a transnational initiative implemented at a national scale; no explicit chain links both cases.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes initiatives in specific countries but does not explicitly show causal interactions between different spatial scales.,Yes,1.0,"Local / Site-specific, National, Transnational / Cross-border",National -> Local / Site-specific | Transnational / Cross-border -> National,"Transnational / Cross-border -> National, National -> Local / Site-specific","Local / Site-specific: Refers to 'five families' changing their habits.; National: Refers to 'Mexico' and 'Philippines' as countries, and a 'TV series' within Mexico.; Transnational / Cross-border: Refers to the 'United for Healthier Kids' platform, created by Nestlé, launched in multiple countries.","[Local / Site-specific, National, Transnational / Cross-border] A transnational platform is launched nationally, and a national TV series influences local families.",The paragraph explicitly describes a transnational platform being launched at the national level in the Philippines. It also details a national TV series in Mexico directly influencing local families' habits. These represent clear cross-scale causal interactions.
27,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_14.pdf,"Through innovation and renovation we continue to make our products tastier and healthier. In line with the recommendations from public health authorities, we are reducing the amount of salt, sugar and saturated fats in our products as part of our contribution towards the fight against non-communicable diseases in society. Our reduction targets are in cluded in our public nutrition commitments (detailed in the Nestlé in society report) so our progress can be measured. We are also ensuring that whole grains are the primary ingredient in our breakfast cereals for children and teenagers.",Yes,0.8,"Local / Site-specific, National",National -> Local / Site-specific,National -> Local / Site-specific,Local / Site-specific: Company's specific product reformulation activities and manufacturing processes; National: Public health authorities providing recommendations that guide company actions,"[National, Local / Site-specific] Public health authorities guide company product reformulation efforts","National public health authorities explicitly provide recommendations that causally influence the company's local product development activities. The company states they are acting 'in line with' these recommendations, showing clear cross-scale influence.",No,0.66,N/A,N/A,N/A,N/A,N/A,"The text cites “public health authorities” influencing company actions, but provides no explicit geographic scale (local, regional, national, or transnational) for either actor.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes internal company actions and commitments without explicit cross-scale interactions involving different spatial actors.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph describes a transnational company's internal actions and commitments. While 'public health authorities' are mentioned as an influence, their specific spatial scale is not explicitly defined, preventing the identification of a clear cross-scale actor. 'Society' is too abstract to be mapped to a specific spatial scale actor."
28,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_14.pdf,"We want to help people who buy our products to make informed decisions by giving them better nutritional information on our product labels. We are enhancing our portion guidance and have committed to print GDAs (Guideline Daily Amounts) on the front of all relevant packaging. These make it easier for people to see how much salt, sugar or fat is in the product, and how the amounts compare to reference daily guidelines. Nestlé Portion Guidance is a voluntary initiative",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes Nestlé's product labeling initiative but contains no explicit spatial actors or geographical references. While the company operates across scales, no specific locations, regions, or cross-scale causal relationships are mentioned in this text.",No,0.78,N/A,N/A,N/A,N/A,N/A,"The text describes a company's voluntary labeling initiative and its effects on consumers but does not specify any cross-scale actors (e.g., national regulators) or explicit causal interactions across scales.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses a company initiative without explicit cross-scale interactions involving different geographical actors.,Yes,1.0,"Transnational / Cross-border, Local / Site-specific",Transnational / Cross-border -> Local / Site-specific | Transnational / Cross-border -> Local / Site-specific,"Transnational / Cross-border -> Local / Site-specific, Transnational / Cross-border -> Local / Site-specific","Transnational / Cross-border: Refers to 'We' (Nestlé), a global company implementing a 'voluntary initiative' across multiple countries.; Local / Site-specific: Refers to 'product labels,' 'packaging,' and 'people who buy our products' (consumers) at specific points of sale/consumption.","[Transnational / Cross-border, Local / Site-specific] Nestlé's transnational initiative to provide nutritional information on product labels directly influences local packaging and consumer decision-making.",The paragraph explicitly states Nestlé's (Transnational) commitment to print GDAs on packaging (Local) and its goal to help local consumers make informed decisions. These represent direct causal influences from a global corporate policy to local implementation and impact.
