A: Paragraph Index,B: AI: Cross Scale (Consensus),C: Human Agreement with B (Agree/Disagree/Notes),All Models Align,Disagreement Type,Source,Full Paragraph Text,claude4: Interaction Present,claude4: Confidence,claude4: Scales,claude4: Links,claude4: Final Link,claude4: Scale Explanations,claude4: Summary,claude4: Rationale,gpt5: Interaction Present,gpt5: Confidence,gpt5: Scales,gpt5: Links,gpt5: Final Link,gpt5: Scale Explanations,gpt5: Summary,gpt5: Rationale,4o: Interaction Present,4o: Confidence,4o: Scales,4o: Links,4o: Final Link,4o: Scale Explanations,4o: Summary,4o: Rationale,gemini2.5: Interaction Present,gemini2.5: Confidence,gemini2.5: Scales,gemini2.5: Links,gemini2.5: Final Link,gemini2.5: Scale Explanations,gemini2.5: Summary,gemini2.5: Rationale
0,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_4.pdf,"We remain the only infant formula manufacturer included in FTSE’s responsible investment index, based on our performance in human rights, labour rights, responsible marketing of breast-milk substitutes and more.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes a company's inclusion in an investment index based on performance criteria, but contains no explicit causal interactions between actors at different spatial scales. It's a statement about corporate recognition without spatial cross-scale dynamics.",No,0.9,N/A,N/A,N/A,N/A,N/A,Only a company’s inclusion in a global FTSE index is mentioned; no explicit causal interaction across defined spatial scales is stated.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph does not describe any explicit cross-scale interaction between different geographical actors.,No,1.0,N/A,N/A,N/A,N/A,N/A,The paragraph describes an infant formula manufacturer's inclusion in a global investment index based on its performance. Both the manufacturer (implied global entity) and the FTSE index operate at the Transnational / Cross-border scale. No explicit causal links between different spatial scales are present.
1,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_4.pdf,"We were ranked number one by the charity Oxfam in its 2014 scorecard, Behind the Brands. The survey scored 10 food and beverage companies on their efforts to improve food security.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a ranking by Oxfam but contains no explicit causal interactions between actors at different spatial scales. It only states a comparative assessment outcome without showing how one scale influences another.,No,0.76,N/A,N/A,N/A,N/A,N/A,"The text only states that Oxfam ranked companies on a scorecard; it does not describe any causal influence across different spatial scales. No explicit local, regional, national, or transnational cross-scale link is made.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a ranking by Oxfam but does not provide any explicit cross-scale causal interactions between different spatial scales.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph describes interactions between Oxfam and food and beverage companies, both of which operate at a Transnational scale. No explicit causal links between actors at different spatial scales are present."
2,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_6.pdf,"The business environment was again marked by great uncertainty in 2014. Disruptive socio-economic and political change continued to affect growth in many parts of the world. In the emerging markets, economic volatility worsened as growth rates slowed and currencies weakened. In the developed markets, deflationary pressures and soft consumer demand resulted in a continued challenging trading environment. In the face of such uncertainty it was more important than ever to stay the course and remain loyal to our strategy, driving short-term performance while ensuring we made the right decisions to deliver our long-term goals. We took decisive steps to further our ambition to be the world’s recognised leading Nutrition, Health and Wellness company, trusted by all stakeholders, while again delivering financial results in 2014 that outperformed the market.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes general economic conditions across emerging and developed markets without identifying specific actors or explicit causal relationships between different spatial scales. It focuses on a company's strategic response to market conditions rather than cross-scale interactions.,No,0.87,N/A,N/A,N/A,N/A,N/A,The text provides broad global market conditions and firm strategy without explicit causal links between actors at different spatial scales.,No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph discusses economic conditions and company strategy without identifying specific actors or actions at different spatial scales, thus no cross-scale interaction is present.",No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph describes global economic conditions and a company's response to them. All mentioned phenomena (e.g., 'growth in many parts of the world', 'emerging markets', 'developed markets', 'economic volatility') operate at the Transnational / Cross-border scale. There are no explicit causal links identified between actors at different spatial scales."
3,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_6.pdf,"Through continuous innovation and renovation of our food and beverages portfolio we are able to offer people healthier and tastier choices at every stage of their life, at any time of the day. Science-based innovation enables us to enhance the quality of people’s diets, using our knowledge and our research and development capability to make a positive contribution to society. Wherever you are in the world, we have safe, nutritious products to help you care for yourself and your family. A few years ago, we expanded the boundaries of Nutrition, Health and Wellness with the creation of Nestlé Health Science, motivated by the opportunity to forge a major therapeutic role for nutrition in the management of health. In line with this broadened strategy, in 2014 the Board approved the sale of 48.5 million L’Oréal shares to L’Oréal for cancellation. Part of the proceeds were used for the acquisition of the 50% stake in our joint venture Galderma from L’Oréal, bringing our ownership of Galderma to 100%. Galderma formed the foundation of a new Nestlé subsidiary, Nestlé Skin Health. Its goal is to be recognised as the leading company in skin health, offering science-based solutions to protect, nourish and enhance skin, and where needed to treat, correct and restore damaged skin over the course of people’s lives. Nestlé Skin Health provides prescription drugs, self-medication, therapeutic skin care and aesthetic and corrective medicine, allowing us to compete in the growing and promising multi-billion global skincare market. Nestlé Skin Health was further strengthened by the acquisition of the full rights to commercialise several key aesthetic dermatology products in the United States and Canada.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes Nestlé's corporate strategy and business operations but lacks explicit causal relationships between actors at different spatial scales. While it mentions global presence and specific regional acquisitions, these are descriptive statements about corporate activities rather than cross-scale interactions where one spatial level causally influences another.",Yes,0.62,"Transnational / Cross-border, National",Transnational / Cross-border -> National,Transnational / Cross-border -> National,Transnational / Cross-border: Nestlé operates in the global skincare market and across countries.; National: Rights to commercialise products in the United States and Canada are specified.,"[Transnational / Cross-border, National] A global firm acquired rights enabling product commercialization within US and Canadian national markets.",The text explicitly ties a transnational firm's acquisition to commercialization rights in specific countries. No other explicit cross-scale causal links are described.,Yes,0.9,N/A,Transnational / Cross-border -> National | National -> Local / Site-specific,"Transnational / Cross-border -> National, National -> Local / Site-specific",N/A,"[Transnational / Cross-border, National, Local / Site-specific] Nestlé's global strategy impacts national markets, which in turn affect local operations in the US and Canada.","The text describes Nestlé's global strategy affecting national markets, which then influence local operations. The three scales are necessary to capture the full interaction chain from global to local levels.",Yes,1.0,"Transnational / Cross-border, National",Transnational / Cross-border -> National,Transnational / Cross-border -> National,Transnational / Cross-border: Nestlé operates 'Wherever you are in the world' and competes in the 'global skincare market'.; National: 'United States and Canada' are specific country-level markets.,"[Transnational / Cross-border, National] A transnational company acquired commercial rights for products in specific national markets.","The paragraph explicitly states Nestlé Skin Health, a transnational entity, acquired commercial rights for products in the United States and Canada, which are national scales. This demonstrates a direct causal influence from a transnational actor on national markets."
4,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_6.pdf,"These developments ensure that, building on the strong foundations of our food and beverages business and guided increasingly by science, we can further expand our portfolio to provide promising platforms for future growth in line with our strategy of Nutrition, Health and Wellness. At the same time, we continue the drive to ensure our company is organised efficiently and effectively to deliver continuous profitable growth over the long term. With this objective in mind we made some key decisions, adapting our organisational structure to better prepare ourselves today to meet the challenges of tomorrow.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph discusses corporate strategy, organizational structure, and business portfolio expansion without identifying any specific spatial actors or geographical scales. All content relates to internal company operations and strategic planning without explicit spatial or cross-scale causal relationships.",No,0.9,N/A,N/A,N/A,N/A,N/A,No geographic actors or scales are mentioned; the text discusses internal corporate strategy without cross-scale causal influence.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses internal company strategies without mentioning any specific geographical scales or cross-scale interactions.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph discusses internal company strategy, portfolio expansion, and organizational structure. It does not identify any concrete actors or actions with explicit geographical relevance that interact across different spatial scales."
5,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_6.pdf,"While our company continues to benefit from its decentralised structure, allowing key decisions to be made as close as possible to consumers, there is still an important opportunity to better leverage our scale. That is why in 2014 we set up Nestlé Business Excellence at Executive Board Level, combining GLOBE (Nestlé’s Global Business Excellence function) with Nestlé Business Services (our shared operation for transactional services around the world) and Nestlé Con tinuous Excellence (our continuous improvement and LEAN programme). Through a focus on three areas: Simplifying, Standardising and Sharing, Nestlé Business Excellence will allow us to decrease structural costs and operational expenses, freeing up resources to support growth. This will also allow our markets to keep a sharp focus on generating demand.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes internal corporate restructuring and business operations without identifying specific geographical actors or explicit causal relationships between different spatial scales. While it mentions 'markets' and 'around the world,' these are abstract business concepts rather than concrete spatial actors with cross-scale interactions.",Yes,0.62,"Transnational / Cross-border, National, Local / Site-specific",Transnational / Cross-border -> Local / Site-specific | Transnational / Cross-border -> National,Transnational / Cross-border -> National,Transnational / Cross-border: Global Executive Board-level 'Nestlé Business Excellence' and functions 'around the world'.; National: 'Our markets' refers to country-level market units.; Local / Site-specific: 'Decisions ... as close as possible to consumers' indicates local decision-making.,"[Transnational / Cross-border, National, Local / Site-specific] Global Nestlé programs let country markets focus on demand and enable local, consumer-proximate decision-making.","Global corporate functions are stated to enable both local decision-making and country market focus, forming two explicit top-down links. We keep three scales to reflect global-to-national and global-to-local effects.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes internal company strategies without explicit cross-scale geographical interactions.,Yes,0.9,"Transnational / Cross-border, Local / Site-specific, National",Transnational / Cross-border -> Local / Site-specific | Transnational / Cross-border -> National,"Transnational / Cross-border -> Local / Site-specific, Transnational / Cross-border -> National","Transnational / Cross-border: Nestlé is a global company with 'Global' functions and operations 'around the world'.; Local / Site-specific: Decisions are made 'as close as possible to consumers', representing specific places.; National: 'Our markets' are operational units generating demand, distinct from local consumers and the transnational company.","[Transnational / Cross-border, Local / Site-specific, National] Nestlé's transnational structure enables local decision-making, and its global business excellence initiatives empower national markets.",The paragraph explicitly details how Nestlé's transnational structure influences local decision-making and how its global business excellence function impacts national market operations. These two distinct causal pathways demonstrate cross-scale interactions involving three clearly defined scales.
6,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_6.pdf,"We have integrated the Maghreb, the Middle East, the North East Africa region, Turkey and Israel into Zone Europe to form Zone EMENA (Europe, Middle East and North Africa). This balances the different consumer dynamics and opportunities in each geography. Additionally it allows a sharper focus in Zone Asia, Oceania and Africa, a fast-growing part",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes organizational restructuring of geographical zones but contains no explicit causal interactions between actors at different spatial scales. It only explains how regions are being grouped together for business purposes without showing cross-scale influence.,Yes,0.69,"Transnational / Cross-border, National",Transnational / Cross-border -> National,Transnational / Cross-border -> National,Transnational / Cross-border: Zone Europe/EMENA spans multiple countries.; National: Turkey and Israel are individual countries affected by the integration.,"[Transnational / Cross-border, National] Integrating Turkey and Israel into EMENA shows a cross-border zone reshaping country-level operations.","The paragraph states a transnational zone (EMENA) integrating national units (Turkey, Israel), a clear top-down cross-scale effect. Other regions cited are same-scale or too vague to form additional links.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a regional integration but lacks explicit cross-scale causal interactions between defined scales.,No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes an organizational restructuring of geographical areas by an external actor ('We'), not a causal influence between actors or dynamics at different spatial scales. The regions and countries mentioned are objects of this action, not actors influencing or being influenced by other scales."
7,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_8.pdf,"The new Nestlé Business Excellence function is led by Chris Johnson, the former head of Zone Americas. Zone Americas is now led by Laurent Freixe, the former head of Zone Europe, and the new Zone EMENA by Luis Cantarell, who previously was in charge of Nestlé Nutrition and Nestlé Health Science. The new head of Nestlé Nutrition is Heiko Schipper, who was formerly responsible for our Global Infant Nutrition division. Nestlé Health Science is led by Greg Behar, who joined the company from Boehringer Ingelheim in July. The newly established Nestlé Skin Health is led by Humberto Antunes, former ly the Chief Executive Officer of our joint venture Galderma.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes internal corporate restructuring and personnel changes within Nestlé's organizational divisions. While it mentions geographic zones like Americas and Europe, these are administrative divisions rather than actors with causal influence across spatial scales.",No,0.9,N/A,N/A,N/A,N/A,N/A,All mentioned actors are corporate units/leaders operating at the same transnational scale; no explicit causal links across different spatial scales are stated.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes organizational changes within Nestlé without any explicit geographical cross-scale interactions.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph describes internal personnel changes and organizational restructuring within a global company. All mentioned entities (e.g., 'Zone Americas', 'Global Infant Nutrition division') operate at the Transnational scale. There are no explicit causal links between actors operating at different geographical scales as defined (Local, Sub-national, National, Transnational)."
8,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_8.pdf,"We further reinforced our business through continued active portfolio management, reviewing the performance of different products in different markets to assess strate gic fit, the extent to which they were accretive against our financial targets, and what investments were necessary to deliver growth. We made choices about where we wanted to invest, where we wanted to improve, and what we wanted to divest. Making such choices enables us to align our resourc es behind our best ideas, products and categories, to deliver sustained financial performance and help us on our journey to recognised Nutrition, Health and Wellness leadership over the short term and the long term.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses corporate portfolio management and business strategy without identifying specific geographical actors or locations. All activities described are internal business operations without explicit spatial scale interactions.,No,0.9,N/A,N/A,N/A,N/A,N/A,No explicit geographical actors or cross-scale causal influences are stated; 'different markets' is vague and not tied to a specific scale.,No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph discusses internal business strategy without explicit cross-scale geographical interactions.,No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes a business making strategic decisions about its portfolio across 'different markets.' While a causal link exists between the business's decisions and its operations in these markets, the text does not explicitly define the geographical scales of the 'business' or the 'markets' in a way that guarantees a cross-scale interaction. The scales could be the same (e.g., a global company managing global markets, or a local company managing local markets), thus no explicit cross-scale link is present."
9,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_8.pdf,"We also announced new investments and research collaborations, which will enhance our ability to deliver sci ence-based solutions to improve the quality of people’s lives. A newly-announced research partnership with the EpiGen consortium will help us to better develop our understanding of the influence of nutrition and genetics at the beginning of life and continue to build our knowledge in this important area. The Nestlé Institute of Health Sciences began a collab oration on a groundbreaking project, which could one day lead to the development of made-to-measure vitamin com binations tailored to individual needs. Our company was founded almost 150 years ago on the product Henri Nestlé invented, farine lactée. It saved the life of a child. Today we continue to invest in science-based innovation to ensure we can answer current and future needs.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph discusses corporate research partnerships and innovation activities but lacks explicit spatial references or geographical actors. While mentioning collaborations and institutes, no specific locations or cross-scale causal relationships are identified.",No,0.3,N/A,N/A,N/A,N/A,N/A,"No explicit geographic scales or cross-scale causal relationships are stated. Actors (company, consortium, institute) are not tied to specific spatial scales in the text.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes collaborations and investments without specifying spatial scales or cross-scale interactions.,Yes,0.9,"Transnational / Cross-border, Local / Site-specific",Transnational / Cross-border -> Local / Site-specific | Transnational / Cross-border -> Local / Site-specific,Transnational / Cross-border -> Local / Site-specific,"Transnational / Cross-border: Refers to 'We' and 'Our company' (Nestlé), a global entity, and its 'Nestlé Institute of Health Sciences'.; Local / Site-specific: Refers to 'people’s lives' and 'individual needs', representing specific impacts on individuals or local populations.","[Transnational / Cross-border, Local / Site-specific] A global company's investments and research collaborations aim to deliver science-based solutions and products tailored to improve the quality of people's lives at the local level.","The paragraph explicitly describes how a transnational company's actions (investments, research collaborations, projects) are intended to causally influence outcomes at the local level (improving individual lives, tailoring products to individual needs). Only two distinct scales were clearly identifiable and causally linked based on explicit wording."
