A: Paragraph Index,B: AI: Cross Scale (Consensus),C: Human Agreement with B (Agree/Disagree/Notes),All Models Align,Disagreement Type,Source,Full Paragraph Text,claude4: Interaction Present,claude4: Confidence,claude4: Scales,claude4: Links,claude4: Final Link,claude4: Scale Explanations,claude4: Summary,claude4: Rationale,gpt5: Interaction Present,gpt5: Confidence,gpt5: Scales,gpt5: Links,gpt5: Final Link,gpt5: Scale Explanations,gpt5: Summary,gpt5: Rationale,4o: Interaction Present,4o: Confidence,4o: Scales,4o: Links,4o: Final Link,4o: Scale Explanations,4o: Summary,4o: Rationale,gemini2.5: Interaction Present,gemini2.5: Confidence,gemini2.5: Scales,gemini2.5: Links,gemini2.5: Final Link,gemini2.5: Scale Explanations,gemini2.5: Summary,gemini2.5: Rationale
0,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_4.pdf,"We remain the only infant formula manufacturer included in FTSE’s responsible investment index, based on our performance in human rights, labour rights, responsible marketing of breast-milk substitutes and more.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes a current status (being included in an index) based on performance metrics, but contains no explicit causal relationships between different temporal scales or any clear timeframe distinctions that would create cross-scale interactions.",No,0.41,N/A,N/A,N/A,N/A,N/A,"No explicit timeframes or cross-scale causal wording; inclusion in the index is linked to performance, but durations are unstated, preventing scale mapping.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph does not describe any events or processes with explicit temporal scales or causal interactions across different scales.,Yes,0.9,"Medium-Term, Long-Term",Medium-Term -> Long-Term,Medium-Term -> Long-Term,"Medium-Term: The company's ongoing 'performance' in human rights and responsible marketing represents multi-year strategies and continuous efforts.; Long-Term: Inclusion in a 'responsible investment index' signifies a sustained, long-term commitment to ethical practices and sustainability.","[Medium-Term, Long-Term] The company's multi-year performance in ethical practices leads to its sustained inclusion in a long-term responsible investment index.","The company's 'performance' in areas like human rights and responsible marketing is interpreted as a Medium-Term, multi-year strategic effort. This sustained performance causally influences its 'inclusion' in a 'responsible investment index,' which inherently reflects a Long-Term commitment to sustainability and ethical standing. This establishes a clear cross-scale interaction."
1,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_4.pdf,"We were ranked number one by the charity Oxfam in its 2014 scorecard, Behind the Brands. The survey scored 10 food and beverage companies on their efforts to improve food security.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a single event (2014 ranking) without any causal connections to different temporal scales. No cross-scale interactions are present.,Yes,0.64,"Short-Term, Long-Term",Long-Term -> Short-Term,Long-Term -> Short-Term,Short-Term: The 2014 scorecard ranking is a single-year event.; Long-Term: “Efforts to improve food security” imply a long-term objective.,"[Short-Term, Long-Term] The 2014 ranking (short-term) was explicitly based on companies’ efforts to improve food security (long-term).","The text states the 2014 score was based on companies’ efforts to improve food security, creating a causal link. Improving food security implies long-term work. No other timeframes are specified.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a past event (2014 ranking) without explicit causal links to other temporal scales.,Yes,1.0,"Short-Term, Long-Term",Long-Term -> Short-Term,Long-Term -> Short-Term,"Short-Term: The 2014 ranking is a specific event occurring within a single year.; Long-Term: Efforts to improve food security represent sustained, ongoing processes over decades.","[Short-Term, Long-Term] Long-term efforts to improve food security directly influenced the short-term 2014 ranking.","The paragraph explicitly links the 'efforts to improve food security' (Long-Term) as the basis for the '2014 scorecard' (Short-Term). This establishes a clear causal interaction where a sustained, long-term process leads to a specific, short-term outcome. Only these two scales are necessary to capture the interaction."
2,Yes,,Yes,Unanimous,Nestle_Annual_Report_2014_page_6.pdf,"The business environment was again marked by great uncertainty in 2014. Disruptive socio-economic and political change continued to affect growth in many parts of the world. In the emerging markets, economic volatility worsened as growth rates slowed and currencies weakened. In the developed markets, deflationary pressures and soft consumer demand resulted in a continued challenging trading environment. In the face of such uncertainty it was more important than ever to stay the course and remain loyal to our strategy, driving short-term performance while ensuring we made the right decisions to deliver our long-term goals. We took decisive steps to further our ambition to be the world’s recognised leading Nutrition, Health and Wellness company, trusted by all stakeholders, while again delivering financial results in 2014 that outperformed the market.",Yes,0.85,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,Short-Term: Financial results delivered in 2014 and short-term performance driving; Long-Term: Long-term goals and ambition to be world's leading company over decades,"[Short-Term, Long-Term] Short-term performance drives decisions to achieve long-term strategic goals.",The paragraph explicitly connects short-term performance driving with ensuring right decisions for long-term goal delivery. This creates a clear causal link where immediate actions influence decade-spanning objectives.,Yes,0.7,"Medium-Term, Short-Term, Long-Term",Medium-Term -> Short-Term | Short-Term -> Long-Term,"Medium-Term -> Short-Term, Short-Term -> Long-Term",Medium-Term: “Remain loyal to our strategy” implies a multi‑year strategy.; Short-Term: “Driving short-term performance” and “financial results in 2014.”; Long-Term: “Deliver our long-term goals.”,"[Medium-Term, Short-Term, Long-Term] Loyalty to a multi-year strategy drove short-term performance, and short-term decisions were to deliver long-term goals.","The text states strategy loyalty drove short-term performance, creating a Medium→Short link. It also says current decisions ensure delivery of long-term goals, forming a Short→Long link. No other explicit cross-scale causality is stated.",Yes,0.9,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,Short-Term: Financial results in 2014 that outperformed the market.; Long-Term: Ensuring decisions to deliver long-term goals.,"[Short-Term, Long-Term] Short-term performance was driven to ensure long-term goals.","The paragraph explicitly links short-term performance in 2014 to ensuring long-term goals. The focus on immediate financial results is causally tied to achieving broader, long-term ambitions.",Yes,1.0,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,Short-Term: Refers to events and actions occurring in '2014' and 'short-term performance'.; Long-Term: Refers to 'long-term goals' and the company's 'ambition' over decades.,"[Short-Term, Long-Term] Short-term decisions and steps taken in 2014 were explicitly aimed at delivering long-term goals and furthering the company's ambition.","The paragraph clearly establishes a causal link where actions and decisions made in 2014 (Short-Term) are explicitly stated as being taken to achieve 'long-term goals' and 'further ambition' (Long-Term). No other cross-scale interactions, particularly involving the Medium-Term, were explicitly described with a causal relationship."
3,Yes,,Yes,Unanimous,Nestle_Annual_Report_2014_page_6.pdf,"Through continuous innovation and renovation of our food and beverages portfolio we are able to offer people healthier and tastier choices at every stage of their life, at any time of the day. Science-based innovation enables us to enhance the quality of people’s diets, using our knowledge and our research and development capability to make a positive contribution to society. Wherever you are in the world, we have safe, nutritious products to help you care for yourself and your family. A few years ago, we expanded the boundaries of Nutrition, Health and Wellness with the creation of Nestlé Health Science, motivated by the opportunity to forge a major therapeutic role for nutrition in the management of health. In line with this broadened strategy, in 2014 the Board approved the sale of 48.5 million L’Oréal shares to L’Oréal for cancellation. Part of the proceeds were used for the acquisition of the 50% stake in our joint venture Galderma from L’Oréal, bringing our ownership of Galderma to 100%. Galderma formed the foundation of a new Nestlé subsidiary, Nestlé Skin Health. Its goal is to be recognised as the leading company in skin health, offering science-based solutions to protect, nourish and enhance skin, and where needed to treat, correct and restore damaged skin over the course of people’s lives. Nestlé Skin Health provides prescription drugs, self-medication, therapeutic skin care and aesthetic and corrective medicine, allowing us to compete in the growing and promising multi-billion global skincare market. Nestlé Skin Health was further strengthened by the acquisition of the full rights to commercialise several key aesthetic dermatology products in the United States and Canada.",Yes,0.8,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,Short-Term: 2014 Board approval of L'Oréal share sale and Galderma acquisition; Long-Term: Continuous innovation over people's lifetimes and long-term skin health strategy,"[Short-Term, Long-Term] Strategic acquisitions in 2014 enabled lifetime skin health solutions",The 2014 Board decisions to sell L'Oréal shares and acquire Galderma directly enabled Nestlé's long-term strategy to provide skin health solutions 'over the course of people's lives.' This represents a clear causal link from short-term corporate actions to long-term strategic positioning.,Yes,0.78,"Medium-Term, Short-Term, Long-Term",Medium-Term -> Short-Term | Short-Term -> Long-Term,"Medium-Term -> Short-Term, Short-Term -> Long-Term",Medium-Term: 'A few years ago' broadened strategy/creation of Nestlé Health Science.; Short-Term: In 2014 the Board approved the L’Oréal share sale.; Long-Term: References to a 'growing ... global skincare market' and 'over the course of people’s lives'.,"[Medium-Term, Short-Term, Long-Term] A few-years-old strategy led to a 2014 share sale; Skin Health’s offerings then allow competition in a growing long-run skincare market.","The text explicitly links a multi-year strategy to a 2014 transaction. It also states that current product provision enables competition in a growing market, tying short-term capability to a long-term trend. Other mentions lack explicit cross-scale causality.",Yes,0.9,"Medium-Term, Long-Term",Medium-Term -> Long-Term,Medium-Term -> Long-Term,Medium-Term: The acquisition of Galderma and creation of Nestlé Skin Health occurred over a few years.; Long-Term: Nestlé Skin Health aims to treat and restore skin over the course of people's lives.,"[Medium-Term, Long-Term] The acquisition of Galderma aims to impact skin health over people's lives, showing a cross-scale interaction.",The acquisition of Galderma and creation of Nestlé Skin Health are medium-term actions intended to have long-term impacts on skin health. This demonstrates a clear cross-scale interaction from medium-term strategic actions to long-term health outcomes.,Yes,0.9,"Short-Term, Medium-Term, Long-Term",Medium-Term -> Long-Term | Medium-Term -> Short-Term | Short-Term -> Long-Term,"Medium-Term -> Short-Term, Short-Term -> Long-Term","Short-Term: Specific events in 2014, such as the share sale and subsidiary formation.; Medium-Term: The creation of Nestlé Health Science 'a few years ago' and its broadened strategy.; Long-Term: Strategic goals like 'forge a major therapeutic role' and 'leading company... over the course of people’s lives'.","[Short-Term, Medium-Term, Long-Term] A medium-term strategy led to short-term corporate actions, which in turn established a new subsidiary with long-term market leadership goals.","The Medium-Term creation of Nestlé Health Science initiated a strategy influencing Short-Term corporate actions, like the 2014 share sale and formation of Nestlé Skin Health. This Short-Term entity was established with a Long-Term goal of market leadership. A separate Medium-Term to Long-Term link exists, as the initial creation was motivated by a long-term therapeutic vision."
4,Yes,,Yes,Unanimous,Nestle_Annual_Report_2014_page_6.pdf,"These developments ensure that, building on the strong foundations of our food and beverages business and guided increasingly by science, we can further expand our portfolio to provide promising platforms for future growth in line with our strategy of Nutrition, Health and Wellness. At the same time, we continue the drive to ensure our company is organised efficiently and effectively to deliver continuous profitable growth over the long term. With this objective in mind we made some key decisions, adapting our organisational structure to better prepare ourselves today to meet the challenges of tomorrow.",Yes,0.85,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,Short-Term: Key decisions and organizational structure adaptations made 'today'; Long-Term: Continuous profitable growth 'over the long term' and meeting 'challenges of tomorrow',"[Short-Term, Long-Term] Current organizational decisions drive long-term profitable growth and future preparedness.",The text explicitly states that present-day organizational structure adaptations are made to prepare for future challenges and deliver long-term growth. This creates a clear causal link from short-term actions to long-term outcomes.,Yes,0.77,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,"Short-Term: Made key decisions, adapting organisational structure today.; Long-Term: Aim to deliver continuous profitable growth over the long term.","[Short-Term, Long-Term] Today’s organisational decisions are intended to secure continuous profitable growth over the long term.","The text ties immediate organisational decisions (“today”) to achieving “continuous profitable growth over the long term,” creating a causal short-to-long link. Other future references lack specific durations.",Yes,0.9,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,Short-Term: Adapting our organisational structure today.; Long-Term: Deliver continuous profitable growth over the long term.,"[Short-Term, Long-Term] Adapting the organizational structure today aims to ensure long-term profitable growth.",The paragraph describes a short-term action (adapting structure) explicitly intended to influence long-term outcomes (profitable growth). This creates a clear cross-scale interaction.,Yes,0.9,"Short-Term, Medium-Term, Long-Term",Long-Term -> Short-Term | Short-Term -> Medium-Term | Medium-Term -> Long-Term | Medium-Term -> Long-Term,"Long-Term -> Short-Term, Short-Term -> Medium-Term, Medium-Term -> Long-Term, Medium-Term -> Long-Term","Short-Term: Refers to 'made some key decisions' which are immediate actions with short-term impact.; Medium-Term: Refers to 'adapting our organisational structure' and 'continue the drive to ensure our company is organised efficiently', indicating multi-year processes.; Long-Term: Explicitly mentions 'over the long term' and 'challenges of tomorrow', implying processes unfolding over decades.","[Short-Term, Medium-Term, Long-Term] Long-term objectives drive short-term decisions, which lead to medium-term structural adaptations aimed at long-term preparedness and continuous growth.","The paragraph explicitly details how a long-term objective of continuous profitable growth (Long-Term) directly influences short-term key decisions. These short-term decisions then initiate a medium-term process of organizational adaptation. This medium-term adaptation, in turn, is designed to prepare the company for long-term challenges and contribute to sustained long-term growth, demonstrating a clear multi-directional cross-scale interaction."
5,Yes,,Yes,Unanimous,Nestle_Annual_Report_2014_page_6.pdf,"While our company continues to benefit from its decentralised structure, allowing key decisions to be made as close as possible to consumers, there is still an important opportunity to better leverage our scale. That is why in 2014 we set up Nestlé Business Excellence at Executive Board Level, combining GLOBE (Nestlé’s Global Business Excellence function) with Nestlé Business Services (our shared operation for transactional services around the world) and Nestlé Con tinuous Excellence (our continuous improvement and LEAN programme). Through a focus on three areas: Simplifying, Standardising and Sharing, Nestlé Business Excellence will allow us to decrease structural costs and operational expenses, freeing up resources to support growth. This will also allow our markets to keep a sharp focus on generating demand.",Yes,0.85,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,Short-Term: Setting up Nestlé Business Excellence in 2014 represents a specific organizational change; Long-Term: Decreasing structural costs and freeing up resources for growth represents ongoing strategic benefits,"[Short-Term, Long-Term] 2014 organizational restructuring enables ongoing cost reduction and growth resource allocation.",The paragraph shows how a specific 2014 organizational change (Short-Term) causally leads to ongoing structural cost decreases and resource reallocation for growth (Long-Term). The causal link is explicit through 'will allow us to decrease' phrasing.,Yes,0.62,"Short-Term, Medium-Term",Short-Term -> Medium-Term | Medium-Term -> Short-Term,"Short-Term -> Medium-Term, Medium-Term -> Short-Term","Short-Term: In 2014 we set up Nestlé Business Excellence (dated, discrete action).; Medium-Term: Focus on simplifying, standardising and sharing to decrease structural costs and operational expenses.","[Short-Term, Medium-Term] The 2014 setup enables multi-year cost efficiencies, which in turn let markets focus on near-term demand generation.","A dated 2014 action creates an efficiency program that reduces structural costs, implying a multi-year transition. Those efficiencies then enable immediate operational focus on demand. No other explicit cross-scale links appear.",Yes,0.9,"Short-Term, Long-Term",Long-Term -> Short-Term,Long-Term -> Short-Term,Short-Term: Decreasing structural costs and operational expenses is a short-term effect.; Long-Term: Setting up Nestlé Business Excellence in 2014 implies a long-term strategy.,"[Long-Term, Short-Term] Setting up Nestlé Business Excellence in 2014 leads to decreased costs and expenses in the short term.",The establishment of Nestlé Business Excellence in 2014 is a long-term strategy that causally influences short-term outcomes like decreased costs. The text explicitly links these scales through the setup and its immediate effects on costs.,Yes,0.8,"Long-Term, Medium-Term",Long-Term -> Medium-Term,Long-Term -> Medium-Term,"Long-Term: The 'decentralised structure' is described as a continuous, long-standing characteristic of the company, implying a duration over decades.; Medium-Term: The 'setup of Nestlé Business Excellence in 2014' is a strategic initiative with multi-year goals like 'decrease structural costs' and 'support growth'.","[Long-Term, Medium-Term] A long-term decentralised structure provides the context for identifying an opportunity that leads to a medium-term strategic initiative.","The paragraph explicitly links the identification of an opportunity (arising in the context of the long-term decentralised structure) to the medium-term strategic action of setting up Nestlé Business Excellence. No other explicit cross-scale causal links were identified, as the effects of the medium-term initiative are also described within the medium-term horizon."
6,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_6.pdf,"We have integrated the Maghreb, the Middle East, the North East Africa region, Turkey and Israel into Zone Europe to form Zone EMENA (Europe, Middle East and North Africa). This balances the different consumer dynamics and opportunities in each geography. Additionally it allows a sharper focus in Zone Asia, Oceania and Africa, a fast-growing part",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a completed organizational restructuring without temporal markers or causal relationships between different time scales. It presents the integration as an accomplished fact rather than a process unfolding across time periods.,No,0.56,N/A,N/A,N/A,N/A,N/A,"No explicit timeframes beyond an immediate restructuring; claimed benefits lack defined durations, so no cross-scale causal link can be established.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes a structural integration without explicit temporal scales or causal cross-scale interactions.,Yes,0.9,"Long-Term, Medium-Term",Long-Term -> Medium-Term,Long-Term -> Medium-Term,"Long-Term: The phrase 'fast-growing part' implies a sustained trend over many years, fitting the description of processes unfolding over decades.; Medium-Term: The 'sharper focus' is a strategic outcome of an organizational change, typically a a multi-year transition or strategy.","[Long-Term, Medium-Term] A region's long-term growth trend influences the medium-term strategic decision to sharpen focus in that area.","The paragraph describes an organizational restructuring. While the restructuring itself and its immediate benefits are medium-term, the rationale for a 'sharper focus' in Zone Asia, Oceania and Africa is explicitly tied to it being 'a fast-growing part'. This 'fast-growing' characteristic represents a long-term trend that influences the medium-term strategic allocation of attention."
7,No,,Yes,Unanimous,Nestle_Annual_Report_2014_page_8.pdf,"The new Nestlé Business Excellence function is led by Chris Johnson, the former head of Zone Americas. Zone Americas is now led by Laurent Freixe, the former head of Zone Europe, and the new Zone EMENA by Luis Cantarell, who previously was in charge of Nestlé Nutrition and Nestlé Health Science. The new head of Nestlé Nutrition is Heiko Schipper, who was formerly responsible for our Global Infant Nutrition division. Nestlé Health Science is led by Greg Behar, who joined the company from Boehringer Ingelheim in July. The newly established Nestlé Skin Health is led by Humberto Antunes, former ly the Chief Executive Officer of our joint venture Galderma.",No,0.9,N/A,N/A,N/A,N/A,N/A,"The paragraph describes organizational restructuring and leadership appointments but contains no temporal information about when these changes occurred or their duration. Without explicit timeframes, no temporal scales can be identified or linked.",No,0.93,N/A,N/A,N/A,N/A,N/A,"The paragraph lists leadership appointments and prior roles without explicit multi-year or long-term processes, and no causal links across different temporal scales are stated.",No,0.9,N/A,N/A,N/A,N/A,N/A,The paragraph describes organizational changes and leadership appointments without explicit cross-scale causal interactions.,No,1.0,N/A,N/A,N/A,N/A,N/A,"The paragraph exclusively describes recent organizational leadership changes and new appointments, all of which are immediate events falling within the Short-Term temporal scale. There are no explicit mentions of processes or events at Medium-Term or Long-Term scales, nor any causal links between different temporal scales."
8,Mixed,,No,Split Yes/No,Nestle_Annual_Report_2014_page_8.pdf,"We further reinforced our business through continued active portfolio management, reviewing the performance of different products in different markets to assess strate gic fit, the extent to which they were accretive against our financial targets, and what investments were necessary to deliver growth. We made choices about where we wanted to invest, where we wanted to improve, and what we wanted to divest. Making such choices enables us to align our resourc es behind our best ideas, products and categories, to deliver sustained financial performance and help us on our journey to recognised Nutrition, Health and Wellness leadership over the short term and the long term.",Yes,0.85,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,"Short-Term: Explicit mention of 'over the short term' for delivering sustained financial performance; Long-Term: Explicit mention of 'over the long term' for achieving Nutrition, Health and Wellness leadership","[Short-Term, Long-Term] Portfolio management decisions drive short-term performance to enable long-term leadership.","The text explicitly states that portfolio management choices enable alignment of resources to deliver sustained financial performance over the short term AND help achieve Nutrition, Health and Wellness leadership over the long term. This creates a clear causal progression from short-term performance outcomes to long-term strategic objectives.",No,0.52,N/A,N/A,N/A,N/A,N/A,The text states impacts occur in both the short and long term but does not explicitly claim that outcomes at one timescale cause outcomes at another.,Yes,0.9,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,"Short-Term: Delivering sustained financial performance and leadership in the short term.; Long-Term: Achieving recognized leadership in Nutrition, Health, and Wellness over the long term.","[Short-Term, Long-Term] Short-term strategic choices aim to achieve long-term leadership in Nutrition, Health, and Wellness.",The paragraph describes how short-term strategic decisions and resource alignment are intended to support long-term leadership goals. The explicit link between short-term actions and long-term outcomes justifies the cross-scale interaction.,Yes,0.9,"Short-Term, Medium-Term, Long-Term",Medium-Term -> Short-Term | Medium-Term -> Long-Term,"Medium-Term -> Short-Term, Medium-Term -> Long-Term",Short-Term: Explicitly mentioned 'leadership over the short term'.; Medium-Term: 'Making such choices' about investment/divestment for 'sustained financial performance' implies multi-year strategic planning.; Long-Term: Explicitly mentioned 'leadership over the long term'.,"[Short-Term, Medium-Term, Long-Term] Medium-term strategic choices regarding portfolio management causally influence both short-term and long-term leadership goals.",The paragraph explicitly states that 'making such choices' (a Medium-Term strategic action) 'enables' the company to achieve 'leadership over the short term and the long term.' This establishes direct causal links from a Medium-Term strategy to both Short-Term and Long-Term outcomes.
9,Yes,,Yes,Unanimous,Nestle_Annual_Report_2014_page_8.pdf,"We also announced new investments and research collaborations, which will enhance our ability to deliver sci ence-based solutions to improve the quality of people’s lives. A newly-announced research partnership with the EpiGen consortium will help us to better develop our understanding of the influence of nutrition and genetics at the beginning of life and continue to build our knowledge in this important area. The Nestlé Institute of Health Sciences began a collab oration on a groundbreaking project, which could one day lead to the development of made-to-measure vitamin com binations tailored to individual needs. Our company was founded almost 150 years ago on the product Henri Nestlé invented, farine lactée. It saved the life of a child. Today we continue to invest in science-based innovation to ensure we can answer current and future needs.",Yes,0.8,"Short-Term, Long-Term",Long-Term -> Short-Term,Long-Term -> Short-Term,"Short-Term: New investments, research collaborations, and newly-announced partnerships happening now; Long-Term: Company founded 150 years ago, groundbreaking project that could 'one day' lead to developments, answering 'future needs'","[Long-Term, Short-Term] Company's 150-year legacy drives current research investments and collaborations.",The company's long-term heritage (founded 150 years ago on life-saving innovation) explicitly motivates current short-term investments in research partnerships and collaborations. The text connects historical foundation to present-day innovation strategy.,Yes,0.78,"Short-Term, Long-Term",Short-Term -> Long-Term | Short-Term -> Long-Term,Short-Term -> Long-Term,"Short-Term: Announced/began collaborations and investments occur now ('announced', 'began', 'Today we continue to invest').; Long-Term: Outcomes framed as 'could one day lead' and 'ensure we can answer future needs'.","[Short-Term, Long-Term] Near-term collaborations and investments are intended to yield future capabilities and products.","The text explicitly links current actions ('began', 'today we invest') to future outcomes ('one day', 'future needs'). Other statements lack clear multi-scale causality, so only Short-Term to Long-Term links are kept.",Yes,0.9,"Short-Term, Long-Term",Short-Term -> Long-Term,Short-Term -> Long-Term,Short-Term: New investments and research collaborations are current actions.; Long-Term: The company's founding 150 years ago and ongoing innovation for future needs.,"[Short-Term, Long-Term] Current investments and collaborations aim to address future needs, linking present actions to long-term goals.","The paragraph describes current actions (investments, collaborations) that are explicitly intended to meet future needs, creating a clear link from Short-Term to Long-Term. The historical context of the company's founding supports the long-term perspective but does not form a separate link.",Yes,0.9,"Short-Term, Medium-Term, Long-Term",Short-Term -> Medium-Term | Short-Term -> Medium-Term | Short-Term -> Long-Term | Long-Term -> Medium-Term | Medium-Term -> Long-Term,"Long-Term -> Medium-Term, Medium-Term -> Long-Term","Short-Term: Phrases like 'new investments,' 'newly-announced partnership,' and 'began a collaboration' denote immediate actions.; Medium-Term: Strategic goals such as 'enhance our ability,' 'develop our understanding,' and the ongoing 'continue to invest in science-based innovation' span multi-year periods.; Long-Term: Historical events like 'founded almost 150 years ago,' future aspirations like 'one day lead to the development,' and addressing 'future needs' indicate processes over decades.","[Short-Term, Medium-Term, Long-Term] Short-term investments and partnerships influence medium-term capabilities and long-term product development, while the company's long-term founding principles guide its medium-term innovation strategy to address future needs.","The paragraph explicitly details how immediate actions (Short-Term) like new investments and collaborations drive multi-year strategic goals (Medium-Term) and future product development (Long-Term). Furthermore, the company's historical foundation (Long-Term) is presented as the guiding principle for its ongoing innovation strategy (Medium-Term), which in turn aims to address long-term future needs. All three scales are interconnected through clear causal language."
